Time,HRR
1062,114.8573443
1063,116.9408068
1064,116.4846568
1065,119.2743587
1066,119.0770662
1067,118.7975452
1068,118.6356291
1069,116.5355128
1070,119.1469838
1071,121.1785487
1072,120.585985
1073,118.5064852
1074,117.0818203
1075,116.2902744
1076,119.7621771
1077,120.2616155
1078,119.4930468
1079,117.4966347
1080,115.8557523
1081,117.1703086
1082,120.306777
1083,119.6087104
1084,118.607429
1085,117.6468355
1086,115.4131354
1087,115.2846689
1088,118.0914059
1089,119.3796616
1090,116.3732233
1091,113.7458459
1092,113.6930593
1093,114.7491553
1094,119.3505449
1095,118.7267908
1096,114.9809541
1097,114.9008364
1098,113.4048422
1099,116.1196393
1100,118.2881049
1101,117.3565778
1102,114.1328458
1103,113.5128858
1104,113.5388889
1105,114.5120921
1106,117.1265588
1107,114.4156018
1108,112.9508821
1109,113.0721468
1110,111.8404027
1111,114.9440989
1112,115.9211223
1113,112.987063
1114,111.2606228
1115,110.353303
1116,110.8760167
1117,113.5373213
1118,113.3150296
1119,111.1469
1120,110.9074275
1121,109.21398
1122,110.3943635
1123,111.8479315
1124,109.6504099
1125,109.5063961
1126,106.5826472
1127,107.316011
1128,109.0210579
1129,107.4171202
1130,109.6556687
1131,109.6568082
1132,107.7176769
1133,106.7333147
1134,107.666378
1135,110.8565167
1136,109.0776151
1137,107.0627772
1138,105.8442373
1139,105.4622955
1140,106.9688751
1141,108.4100126
1142,107.238702
1143,104.8273338
1144,105.6571698
1145,103.9952272
1146,107.2351337
1147,110.4150349
1148,108.5975133
1149,107.0558366
1150,104.0444715
1151,104.6761599
1152,106.1083549
1153,106.196072
1154,102.7444791
1155,99.20474259
1156,99.95513048
1157,101.572479
1158,103.2368102
1159,102.9982236
1160,100.0874129
1161,98.34087908
1162,97.94540072
1163,98.44117759
1164,103.7216052
1165,101.1243875
1166,98.97395759
1167,98.14929564
1168,95.80417302
1169,98.57550663
1170,100.3187747
1171,99.17055639
1172,96.50921021
1173,96.50445714
1174,97.2315921
1175,98.2578353
1176,98.64760431
1177,96.98862345
1178,94.90737659
1179,91.45382858
1180,93.225356
1181,97.82699241
1182,97.84515981
1183,93.23605734
1184,92.52166252
1185,90.89743856
1186,92.53481468
1187,95.01779813
1188,93.65186167
1189,90.04384417
1190,89.73156058
1191,87.59948711
1192,89.41691555
1193,92.0439918
1194,90.74094077
1195,87.32133729
1196,86.53444091
1197,84.69206311
1198,86.48805326
1199,88.61640487
1200,87.70133549
1201,86.71264605
1202,84.34749781
1203,84.25089972
1204,85.3189644
1205,85.63121023
1206,84.91330065
1207,81.86578421
1208,81.07408568
1209,81.67175547
1210,85.25853379
1211,86.09835079
1212,84.96229662
1213,82.99033678
1214,80.7063278
1215,80.58156437
1216,81.79708632
1217,81.65981702
1218,80.59814754
1219,75.97534056
1220,75.54825459
1221,75.38407143
1222,77.78744019
1223,76.65684711
1224,75.41506993
1225,72.04057633
1226,70.77849971
1227,71.90757714
1228,74.66987222
1229,73.9952051
1230,72.34806158
1231,69.74380975
1232,70.9904227
1233,72.12461743
1234,73.59037493
1235,72.63735124
1236,70.53425352
1237,69.58096712
1238,68.2803504
1239,69.23749037
1240,71.06006692
1241,69.09532137
1242,66.70029574
1243,65.41765142
1244,65.54202649
1245,67.22123699
1246,68.2155454
1247,65.67334487
1248,63.60965279
1249,62.42597097
1250,62.44463466
1251,64.91199935
1252,65.3272529
1253,64.84337766
1254,60.78360794
1255,59.76352988
1256,63.53850593
1257,64.23260878
1258,63.76650973
1259,60.90323758
1260,59.17482593
1261,58.99130884
1262,60.47600436
1263,61.64545435
1264,61.56671318
1265,58.83486551
1266,57.74397073
1267,56.89270644
1268,58.03900083
1269,60.62729102
1270,58.91407488
1271,55.66439551
1272,55.06596301
1273,55.51693682
1274,56.48315254
1275,58.07815539
1276,57.69977111
1277,55.25716757
1278,54.37767077
1279,52.86890723
1280,54.53939758
1281,56.95644088
1282,55.07756519
1283,53.37156881
1284,51.76754311
1285,50.98849678
1286,52.75127818
1287,52.18816402
1288,51.24963932
1289,49.65343171
1290,50.21234388
1291,50.07230514
1292,52.77506292
1293,51.97032236
1294,50.37561524
1295,47.73929542
1296,47.88083246
1297,49.72608091
1298,51.40220699
1299,51.33496012
1300,49.51453482
1301,47.67113469
1302,47.32575011
1303,48.79879566
1304,50.46042835
1305,48.52765947
1306,47.13880829
1307,44.98234451
1308,45.68113689
1309,47.66523476
1310,48.73095182
1311,46.92785135
1312,44.72021454
1313,44.07148479
1314,43.63191254
1315,45.97614348
1316,46.58986053
1317,45.75984092
1318,43.82896586
1319,42.86361976
1320,43.92853723
1321,45.52840954
1322,46.43018055
1323,43.22988583
1324,41.59884621
1325,41.66819745
1326,42.78416436
1327,45.2755233
1328,44.47919914
1329,42.3851744
1330,40.98818276
1331,40.59029223
1332,41.46849132
1333,43.08753243
1334,43.47114229
1335,41.67457915
1336,40.78377717
1337,40.99478495
1338,42.78666545
1339,44.29949961
1340,42.55160806
1341,40.24655936
1342,38.86180182
1343,39.472749
1344,41.64147304
1345,43.01377428
1346,42.00031541
1347,40.15433787
1348,38.71013812
1349,39.15599808
1350,40.91160426
1351,42.42510852
