General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,344,20.78723079,121.298308,-0.00029414,0.16074175,1.004865,1.006613,98.189015,-0.003,100.5082,0,277.436,340,344.784,1022.348,0,0
,,345,20.78741357,122.482168,-0.00028072,0.16011434,1.005947,1.006471,98.22737,-0.0046,100.5084,0,277.459,340.011,344.777,1022.203,0,0
,,346,20.78785578,126.065697,-0.00025361,0.16004583,1.006449,1.006283,98.12829,-0.0052,100.5081,0,277.46,340.013,344.776,1022.239,0,0
,,347,20.78831699,126.124193,-0.00025739,0.15978074,1.005094,1.006104,98.145979,-0.0053,100.5082,0,277.471,339.996,344.719,1022.267,0,0
,,348,20.78916875,127.679128,-0.00028293,0.15952636,1.005044,1.005903,98.118728,-0.0053,100.5089,0,277.465,339.977,344.631,1022.279,0,0
,,349,20.79017343,121.695665,-0.00029815,0.15879208,1.002228,1.005672,97.983797,-0.0052,100.5088,0,277.469,339.954,344.609,1022.306,0,0
,,350,20.78987347,122.791425,-0.00029073,0.15842036,1.004408,1.005465,98.030267,-0.0052,100.5083,0,277.476,339.966,344.593,1022.316,0,0
,,351,20.78951034,118.112573,-0.00026416,0.15845964,1.004095,1.005264,98.063864,-0.0053,100.5082,0,277.482,339.978,344.54,1022.328,0,0
,,352,20.79099685,119.405799,-0.0003131,0.15844697,1.004663,1.004972,98.209996,-0.0053,100.5082,0,277.472,339.972,344.559,1022.337,0,0
,,353,20.79219366,122.886375,-0.00034387,0.15821112,1.004936,1.004736,98.012259,-0.0052,100.5082,0,277.485,339.968,344.503,1022.342,0,0
,,354,20.79248208,122.921816,-0.00041942,0.15787275,1.003002,1.004487,97.829596,-0.0051,100.5082,0,277.474,339.915,344.437,1022.343,0,0
,,355,20.79233918,125.043068,-0.0004495,0.1570854,1.002086,1.004203,97.941568,0.0014,100.5076,0,277.463,339.902,344.383,1022.333,0,0
,,356,20.79175387,120.651844,-0.00044487,0.15682202,1.00279,1.003873,97.876283,-0.0036,100.5076,0,277.488,339.86,344.373,1022.332,0,0
,,357,20.79148481,126.473552,-0.00043044,0.15683351,1.003341,1.003533,97.838823,-0.0053,100.5077,0,277.475,339.866,344.413,1022.316,0,0
,,358,20.79312109,121.878194,-0.00040904,0.15661172,1.002207,1.003199,97.685102,-0.0052,100.5079,0,277.454,339.855,344.429,1022.31,0,0
,,359,20.79420468,120.73445,-0.00042697,0.15655701,1.002845,1.002883,97.850059,-0.0052,100.5086,0,277.479,339.861,344.407,1022.305,0,0
,,360,20.79576681,125.092058,-0.00044775,0.15628255,1.002525,1.002476,97.84733,-0.0052,100.5083,0,277.462,339.846,344.404,1022.308,0,0
,,361,20.79609367,131.983704,-0.00051465,0.15548116,1.002785,1.002136,97.786937,-0.0053,100.5087,0,277.463,339.8,344.324,1022.318,0,0
,,362,20.79552322,124.62029,-0.00051772,0.15526772,1.001484,1.001748,97.757501,-0.0052,100.5077,0,277.466,339.802,344.33,1022.303,0,0
,,363,20.79551782,124.500042,-0.00048613,0.15511627,1.001079,1.001285,97.653149,-0.0051,100.5076,0,277.458,339.776,344.263,1022.29,0,0
,,364,20.79598616,124.116489,-0.00048661,0.15498331,1.001025,1.000885,97.611256,-0.0052,100.5073,0,277.462,339.771,344.201,1022.28,0,0
,,365,20.79628425,123.801428,-0.00044808,0.15492646,0.999352,1.000481,97.517177,-0.0052,100.5074,0,277.46,339.776,344.22,1022.259,0,0
,,366,20.79635827,124.986408,-0.00039193,0.15472233,0.997944,0.999961,97.18335,-0.0051,100.5072,0,277.468,339.791,344.296,1022.242,0,0
,,367,20.79606436,126.668239,-0.00037684,0.15393197,0.999393,0.999558,97.356194,-0.0052,100.5076,0,277.47,339.851,344.385,1022.226,0,0
,,368,20.79539001,123.06205,-0.00030527,0.15369913,0.998313,0.99909,97.318845,-0.0052,100.5081,0,277.474,339.89,344.44,1022.214,0,0
,,369,20.79563073,119.272764,-0.00025355,0.15386156,0.998096,0.998625,97.18421,-0.0052,100.5085,0,277.466,339.924,344.423,1022.196,0,0
,,370,20.796106,124.795865,-0.00019868,0.15365,0.999172,0.998179,97.302731,-0.0052,100.5081,0,277.462,339.941,344.438,1022.198,0,0
,,371,20.79641257,124.681165,-0.00020607,0.15332024,0.996352,0.997707,97.348006,-0.0054,100.5084,0,277.459,339.922,344.41,1022.199,0,0
,,372,20.79635814,121.493151,-0.00017998,0.15304734,0.994574,0.997235,97.15924,-0.0053,100.5079,0,277.468,339.913,344.424,1022.225,0,0
,,373,20.79752439,125.147502,-0.00014447,0.15291969,0.996741,0.996752,97.127839,-0.0053,100.5077,0,277.472,339.943,344.499,1022.216,0,0
,,374,20.79735983,125.783659,-0.00011736,0.15286821,0.996285,0.996234,97.068348,-0.0053,100.5075,0,277.457,339.957,344.508,1022.217,0,0
,,375,20.79765423,123.986826,-9.313E-05,0.15246834,0.993872,0.995729,96.988753,-0.0052,100.5081,0,277.453,339.942,344.493,1022.228,0,0
,,376,20.7980815,124.204753,-0.0001029,0.15263441,0.994157,0.995726,97.041066,-0.0053,100.5082,0,277.468,339.953,344.513,1022.205,0,0
,,377,20.79835185,125.384216,-0.00012378,0.15258832,0.993016,0.99581,96.952812,-0.0054,100.5065,0,277.453,339.946,344.502,1022.205,0,0
,,378,20.79831544,126.30889,-0.00013958,0.15172996,0.995443,0.995976,96.880565,-0.0054,100.5078,0,277.452,339.939,344.441,1022.201,0,0
,,379,20.79788451,118.962744,-0.00013651,0.15137947,0.993778,0.99609,96.851004,-0.0052,100.5069,0,277.468,339.926,344.371,1022.212,0,0
,,380,20.79737548,126.714055,-0.00011181,0.15143131,0.992803,0.99621,96.790108,-0.0052,100.5079,0,277.444,339.891,344.321,1022.211,0,0
,,381,20.79774102,125.117964,-9.104E-05,0.15169034,0.995183,0.996339,96.719849,-0.0052,100.5082,0,277.446,339.888,344.271,1022.212,0,0
,,382,20.79815827,126.786037,-0.00011543,0.15185965,0.993013,0.996488,96.789876,-0.0052,100.5085,0,277.452,339.844,344.193,1022.208,0,0
,,383,20.79836663,121.036343,-0.00019435,0.15181876,0.991916,0.996602,96.760415,-0.005,100.5085,0,277.444,339.847,344.182,1022.203,0,0
,,384,20.79970802,122.727636,-0.00021736,0.15101826,0.993178,0.996772,96.656663,-0.0015,100.5079,0,277.448,339.862,344.214,1022.21,0,0
,,385,20.7995884,121.776085,-0.00027002,0.15062197,0.993316,0.996897,96.545678,0.0069,100.5068,0,277.457,339.875,344.249,1022.214,0,0
,,386,20.79931825,123.750708,-0.00026607,0.1506152,0.993737,0.997047,96.534505,-0.0025,100.5068,0,277.439,339.888,344.26,1022.215,0,0
,,387,20.7997439,125.286042,-0.00024761,0.15086632,0.990021,0.997206,96.540957,-0.0053,100.5075,0,277.432,339.912,344.24,1022.211,0,0
,,388,20.80144415,123.888755,-0.00033135,0.15106603,0.993373,0.997332,96.498616,-0.0051,100.5068,0,277.449,339.879,344.18,1022.229,0,0
,,389,20.80066614,120.190636,-0.00036943,0.15033122,0.992533,0.997506,96.280734,-0.0052,100.5066,0,277.451,339.851,344.137,1022.259,0,0
,,390,20.8000941,120.922393,-0.00037547,0.14987688,0.992323,0.997643,96.291449,-0.0053,100.5066,0,277.446,339.871,344.198,1022.25,0,0
,,391,20.79953566,120.393889,-0.00036152,0.14980236,0.993147,0.997777,96.542765,-0.0052,100.5073,0,277.454,339.876,344.237,1022.276,0,0
,,392,20.79946848,124.190765,-0.00033017,0.14994046,0.990242,0.997938,96.587612,-0.0054,100.5063,0,277.451,339.88,344.205,1022.287,0,0
,,393,20.80146466,120.520775,-0.00032993,0.15025792,0.989763,0.998104,96.352703,-0.0052,100.5069,0,277.455,339.902,344.229,1022.282,0,0
,,394,20.80222737,123.166893,-0.00035179,0.15028429,0.985818,0.998237,96.394365,-0.0053,100.5074,0,277.447,339.909,344.219,1022.295,0,0
,,395,20.80226675,125.186837,-0.00030759,0.15007751,0.985427,0.998434,96.241258,-0.0053,100.5066,0,277.451,339.916,344.224,1022.297,0,0
,,396,20.80193258,123.218317,-0.00029759,0.14987713,0.988732,0.99856,96.200783,-0.0053,100.5074,0,277.451,339.94,344.29,1022.311,0,0
,,397,20.80133364,125.217536,-0.00028838,0.14977467,0.986219,0.998725,96.056074,-0.0052,100.5075,0,277.452,339.967,344.303,1022.308,0,0
,,398,20.80145674,121.440787,-0.00025213,0.14994542,0.98566,0.998889,96.161902,-0.0051,100.507,0,277.458,340.017,344.381,1022.311,0,0
,,399,20.8019268,117.717616,-0.00025775,0.15027466,0.983654,0.99902,96.016156,-0.0052,100.5073,0,277.444,340.023,344.42,1022.301,0,0
,,400,20.80224336,125.89021,-0.00028136,0.15019828,0.978419,0.99919,95.890118,-0.0052,100.507,0,277.447,340.047,344.445,1022.32,0,0
,,401,20.80085428,121.591672,-0.00029376,0.14994815,0.98285,0.999374,95.935663,-0.0051,100.5069,0,277.454,340.047,344.471,1022.331,0,0
,,402,20.79998356,122.03143,-0.00035122,0.14979694,0.981979,0.999521,95.810398,-0.0053,100.5069,0,277.447,340.049,344.492,1022.323,0,0
,,403,20.79930263,123.605876,-0.00034854,0.14982775,0.978299,0.999747,95.852946,-0.0052,100.5069,0,277.443,340.052,344.511,1022.328,0,0
,,404,20.79955966,121.795217,-0.0003293,0.15052851,0.979049,0.999898,95.713725,-0.0054,100.5067,0,277.451,340.104,344.596,1022.33,0,0
,,405,20.80000588,125.915951,-0.00038055,0.15093313,0.977149,1.000057,95.789634,-0.0052,100.5068,0,277.444,340.175,344.658,1022.328,0,0
,,406,20.80028317,124.075391,-0.00038905,0.15104594,0.973772,1.000234,95.913945,-0.0052,100.5067,0,277.447,340.227,344.749,1022.467,0,0
,,407,20.80024689,126.461745,-0.00037822,0.15076368,0.973636,1.000415,95.762956,-0.0052,100.5066,0,277.452,340.24,344.753,1022.47,0,0
,,408,20.79987069,120.795388,-0.00032354,0.15058376,0.978853,1.000544,95.590252,-0.0052,100.5068,0,277.447,340.311,344.812,1022.304,0,0
,,409,20.79772436,117.877323,-0.00027234,0.15122844,0.978115,1.000719,95.593592,-0.0052,100.5075,0,277.445,340.373,344.909,1022.403,0,0
,,410,20.79664887,118.697655,-0.00018753,0.15167686,0.974245,1.000876,95.378223,-0.0051,100.5064,0,277.454,340.434,345.031,1022.283,0,0
,,411,20.79636494,119.263555,-0.00019069,0.15186867,0.965023,1.001028,95.522115,-0.0053,100.5054,0,277.46,340.478,345.121,1022.242,0,0
,,412,20.79646659,118.983887,-0.00021158,0.15228889,0.960648,1.00123,95.647637,-0.0052,100.5061,0,277.463,340.515,345.21,1022.233,0,0
,,413,20.79631025,118.017947,-0.00016449,0.15221243,0.959349,1.001401,95.308902,-0.0052,100.5063,0,277.453,340.589,345.347,1022.225,0,0
,,414,20.79424831,122.581849,-0.00013747,0.15276802,0.962039,1.00156,95.358642,-0.0052,100.5061,0,277.452,340.677,345.473,1022.221,0,0
,,415,20.7934829,126.818567,-0.00011561,0.15297978,0.95984,1.001714,95.304877,-0.0052,100.5059,0,277.462,340.762,345.648,1022.214,0,0
,,416,20.79330774,125.227006,-3.387E-05,0.15378223,0.955773,1.001827,95.183044,-0.0054,100.5058,0,277.46,340.845,345.792,1022.227,0,0
,,417,20.79262403,122.46893,-3.279E-05,0.15420054,0.947295,1.001999,95.158927,-0.0054,100.5058,0,277.472,340.896,345.862,1022.237,0,0
,,418,20.79095935,124.084596,-5.535E-05,0.1546497,0.952069,1.002124,95.299409,-0.0053,100.5062,0,277.472,340.957,345.953,1022.24,0,0
,,419,20.78763516,125.461721,-6.356E-05,0.15517112,0.957839,1.002252,95.145553,-0.0051,100.5063,0,277.462,341.05,346.069,1022.256,0,0
,,420,20.7847067,120.367447,-5.16E-05,0.15590817,0.954857,1.00238,95.082088,-0.0052,100.5072,0,277.448,341.127,346.158,1022.29,0,0
,,421,20.7838805,118.646374,-2.283E-05,0.15675158,0.949928,1.002474,94.889767,-0.0053,100.5068,0,277.464,341.158,346.301,1022.297,0,0
,,422,20.7829399,119.453887,-2.045E-05,0.15785946,0.951051,1.002604,94.676818,-0.0054,100.506,0,277.472,341.27,346.433,1022.306,0,0
,,423,20.78195275,123.580084,-4.16E-05,0.15869571,0.953764,1.002725,95.031688,-0.0053,100.506,0,277.464,341.356,346.538,1022.295,0,0
,,424,20.77951992,119.967491,-5.921E-05,0.15922181,0.947998,1.002815,94.901343,-0.0052,100.5065,0,277.471,341.422,346.66,1022.303,0,0
,,425,20.77704462,120.585829,-6.401E-05,0.15979891,0.952746,1.002886,94.786632,-0.0053,100.5068,0,277.479,341.52,346.85,1022.305,0,0
,,426,20.77455316,124.494762,7.13E-06,0.16052791,0.944708,1.002989,94.776669,-0.0054,100.5069,0,277.487,341.653,347.042,1022.324,0,0
,,427,20.77253607,125.056756,4.84E-05,0.16129814,0.942321,1.003016,94.781852,-0.0053,100.5067,0,277.468,341.756,347.22,1022.344,0,0
,,428,20.77132186,119.625983,9.685E-05,0.16251051,0.945975,1.003113,94.598748,-0.0053,100.506,0,277.465,341.866,347.384,1022.381,0,0
,,429,20.77103794,128.675347,0.00010382,0.16332706,0.946596,1.003164,94.565271,-0.0053,100.5065,0,277.486,341.974,347.594,1022.386,0,0
,,430,20.77096595,125.132441,0.00015133,0.16396891,0.943651,1.003209,94.620283,-0.0052,100.5068,0,277.488,342.092,347.802,1022.375,0,0
,,431,20.76915863,121.875455,0.00023501,0.16498866,0.939729,1.00329,94.514834,-0.0051,100.5062,0,277.477,342.201,347.986,1022.382,0,0
,,432,20.76654465,121.790168,0.00037492,0.16615474,0.939931,1.003314,94.449658,-0.0051,100.5063,0,277.489,342.309,348.189,1022.384,0,0
,,433,20.7638509,118.333383,0.00050675,0.16757063,0.933639,1.003349,94.172121,-0.0052,100.5068,0,277.495,342.423,348.383,1022.38,0,0
,,434,20.76166766,120.086647,0.00058773,0.16907339,0.929796,1.003396,94.14557,-0.0051,100.5069,0,277.494,342.54,348.608,1022.385,0,0
,,435,20.75973462,120.011241,0.00064692,0.17030611,0.936449,1.003394,94.433253,-0.0052,100.5058,0,277.478,342.62,348.703,1022.38,0,0
,,436,20.75783386,121.417989,0.00064141,0.1713197,0.936692,1.003408,94.34482,-0.0052,100.5062,0,277.478,342.693,348.784,1022.379,0,0
,,437,20.75412215,120.731502,0.00063652,0.17221993,0.938045,1.003462,94.127874,-0.0052,100.5052,0,277.479,342.773,348.919,1022.395,0,0
,,438,20.75082256,118.393979,0.000659,0.17350336,0.934691,1.003434,94.125657,-0.0052,100.5054,0,277.475,342.876,349.099,1022.404,0,0
,,439,20.74854512,120.812252,0.00068631,0.17484622,0.93678,1.003454,94.139514,-0.0051,100.5058,0,277.489,342.976,349.219,1022.392,0,0
,,440,20.74624978,119.370019,0.00073365,0.1763663,0.933431,1.00346,93.775436,-0.0052,100.5054,0,277.48,343.111,349.407,1022.402,0,0
,,441,20.74418085,115.162806,0.00076039,0.17721104,0.937094,1.003444,93.92502,-0.0053,100.5057,0,277.463,343.217,349.586,1022.409,0,0
,,442,20.74132657,120.187023,0.00078591,0.17847903,0.926083,1.003434,94.138116,-0.0053,100.5062,0,277.462,343.347,349.851,1022.429,0,0
,,443,20.7379639,121.798518,0.00085849,0.17986948,0.921816,1.003393,93.800168,-0.0054,100.5052,0,277.461,343.509,350.151,1022.412,0,0
,,444,20.73529083,121.091388,0.00094024,0.18143252,0.916326,1.003356,93.747664,-0.0054,100.5061,0,277.465,343.688,350.393,1022.384,0,0
,,445,20.73228781,124.696411,0.00099381,0.18311037,0.921876,1.003333,93.873847,-0.0054,100.5055,0,277.459,343.893,350.715,1022.374,0,0
,,446,20.7302618,118.688165,0.00103091,0.18471759,0.909484,1.003279,93.890589,-0.0055,100.5055,0,277.455,344.057,350.929,1022.344,0,0
,,447,20.72720748,121.636884,0.00103177,0.1861624,0.916292,1.003199,93.72108,-0.0053,100.5047,0,277.441,344.213,351.106,1022.331,0,0
,,448,20.72478323,118.962684,0.00108867,0.18756147,0.902948,1.00315,93.580664,-0.0053,100.5047,0,277.465,344.361,351.344,1022.312,0,0
,,449,20.72219148,123.443236,0.00111492,0.18912384,0.916519,1.003052,93.883784,-0.0052,100.5052,0,277.444,344.508,351.608,1022.287,0,0
,,450,20.71845719,116.752035,0.00118507,0.19070449,0.912945,1.002998,93.552253,-0.0053,100.5044,0,277.458,344.646,351.769,1022.307,0,0
,,451,20.71636352,114.919141,0.00122214,0.19285938,0.912447,1.002922,93.409484,-0.0054,100.5048,0,277.454,344.792,351.999,1022.22,0,0
,,452,20.71470229,120.993667,0.00126926,0.19504816,0.905286,1.00284,93.461095,-0.0053,100.5037,0,277.448,344.933,352.262,1022.272,0,0
,,453,20.71128052,115.329318,0.00132824,0.19665577,0.917903,1.002766,93.527071,-0.0053,100.5043,0,277.451,345.12,352.546,1022.021,0,0
,,454,20.70745836,115.536321,0.00139749,0.19836944,0.908081,1.002653,93.18534,-0.0054,100.5036,0,277.456,345.293,352.813,1022.144,0,0
,,455,20.70376258,121.50894,0.00148282,0.20000196,0.91349,1.002546,93.057311,-0.0053,100.5034,0,277.435,345.454,353.047,1022.27,0,0
,,456,20.69995902,122.34977,0.00159295,0.20177832,0.910003,1.002481,93.392443,-0.0052,100.5038,0,277.452,345.593,353.292,1022.271,0,0
,,457,20.69568699,117.747283,0.00167801,0.20430791,0.906493,1.00237,93.176324,-0.0051,100.5046,0,277.444,345.747,353.528,1022.249,0,0
,,458,20.69183089,117.245084,0.00177838,0.20635919,0.903932,1.002256,92.978679,-0.0052,100.5047,0,277.45,345.872,353.715,1022.277,0,0
,,459,20.68705896,120.744615,0.00181742,0.20805018,0.903111,1.002163,92.947757,-0.0052,100.5041,0,277.443,346.025,353.907,1022.278,0,0
,,460,20.6822783,121.90162,0.00190096,0.21018482,0.89559,1.00201,92.977711,-0.0051,100.5032,0,277.45,346.155,354.126,1022.279,0,0
,,461,20.67797383,126.888829,0.00197302,0.21204042,0.893027,1.0019,92.918524,-0.0052,100.5035,0,277.439,346.259,354.285,1022.295,0,0
,,462,20.67425504,118.56441,0.00211926,0.21428363,0.897334,1.001782,92.897133,-0.0051,100.5043,0,277.449,346.374,354.374,1022.313,0,0
,,463,20.67022168,114.222955,0.00220553,0.2162488,0.892798,1.001613,92.834305,-0.0053,100.5042,0,277.443,346.487,354.595,1022.316,0,0
,,464,20.66655642,119.118394,0.00224612,0.21771197,0.895298,1.001487,92.536904,-0.0053,100.5037,0,277.432,346.648,354.872,1022.331,0,0
,,465,20.66405548,120.010297,0.00228327,0.21939242,0.889407,1.001332,92.522593,-0.0053,100.5039,0,277.441,346.801,355.09,1022.309,0,0
,,466,20.66049373,121.762234,0.00233899,0.22097837,0.900985,1.001149,92.654614,-0.0053,100.5035,0,277.43,346.897,355.178,1022.324,0,0
,,467,20.65731013,116.957845,0.00237279,0.22281066,0.893277,1.001029,92.670014,-0.0052,100.5038,0,277.434,346.992,355.341,1022.331,0,0
,,468,20.65514372,124.117007,0.00246164,0.22510462,0.901378,1.00083,92.387922,-0.0052,100.5024,0,277.44,347.081,355.487,1022.326,0,0
,,469,20.65259613,122.092598,0.00252391,0.22711768,0.903439,1.000642,92.724249,-0.0053,100.5025,0,277.441,347.236,355.658,1022.326,0,0
,,470,20.64905067,117.129248,0.00257893,0.22915019,0.901023,1.000464,92.518056,-0.005,100.5028,0,277.443,347.36,355.866,1022.343,0,0
,,471,20.64645708,120.005962,0.00264951,0.2308303,0.88813,1.000262,92.213733,-0.0052,100.5033,0,277.43,347.533,356.126,1022.357,0,0
,,472,20.64243317,115.211898,0.00273074,0.23253772,0.908273,1.000068,92.367835,-0.0052,100.5027,0,277.436,347.734,356.505,1022.377,0,0
,,473,20.63954759,121.041176,0.0027564,0.23450381,0.898538,0.999866,92.361956,-0.0052,100.5032,0,277.434,347.924,356.795,1022.387,0,0
,,474,20.63744158,118.515358,0.00282554,0.23675205,0.905567,0.99962,92.15582,-0.0053,100.5025,0,277.428,348.093,357.065,1022.387,0,0
,,475,20.634919,114.766205,0.00285126,0.23886154,0.884989,0.999385,92.114459,-0.0053,100.5027,0,277.438,348.235,357.166,1022.388,0,0
,,476,20.63139617,121.682252,0.00287295,0.24038569,0.88627,0.999134,92.16292,-0.0054,100.5026,0,277.437,348.354,357.294,1022.389,0,0
,,477,20.62730538,123.064473,0.00293384,0.24224405,0.896699,0.998855,91.951963,-0.0054,100.5026,0,277.418,348.437,357.387,1022.372,0,0
,,478,20.62343262,123.863603,0.00302292,0.24387039,0.888165,0.998655,91.751205,-0.0053,100.503,0,277.421,348.521,357.444,1022.377,0,0
,,479,20.62022236,118.903626,0.00309614,0.24579914,0.903821,0.998416,91.835165,-0.0052,100.5031,0,277.426,348.61,357.626,1022.345,0,0
,,480,20.61705732,116.085568,0.00316357,0.24789413,0.910476,0.998155,91.924052,-0.0052,100.5037,0,277.427,348.75,357.82,1022.327,0,0
,,481,20.61492572,113.045323,0.00321732,0.24971734,0.889229,0.997925,91.810329,-0.0054,100.5039,0,277.438,348.892,357.973,1022.334,0,0
,,482,20.61164558,120.380439,0.00321384,0.25111851,0.886776,0.997675,91.52207,-0.0052,100.5026,0,277.43,349.006,358.1,1022.316,0,0
,,483,20.60771395,118.906203,0.00326354,0.252478,0.893382,0.997408,91.490392,-0.0052,100.5034,0,277.417,349.14,358.221,1022.296,0,0
,,484,20.60429682,119.26513,0.00329211,0.25397656,0.876313,0.997179,91.454188,-0.0052,100.5034,0,277.421,349.243,358.328,1022.297,0,0
,,485,20.60088496,116.162453,0.00337715,0.25578564,0.893118,0.996888,91.571986,-0.0051,100.504,0,277.431,349.39,358.442,1022.285,0,0
,,486,20.59907212,112.41881,0.00345342,0.25820581,0.872619,0.996604,91.528248,-0.0052,100.5031,0,277.424,349.482,358.537,1022.263,0,0
,,487,20.59742754,118.124323,0.00350378,0.26015085,0.905439,0.996322,91.450496,-0.0052,100.5037,0,277.422,349.587,358.687,1022.254,0,0
,,488,20.59480359,117.231715,0.00351719,0.26150976,0.905292,0.996024,91.476585,-0.0052,100.5033,0,277.409,349.656,358.775,1022.255,0,0
,,489,20.59165671,116.523738,0.00351839,0.26335426,0.896469,0.995764,91.287253,-0.0053,100.5031,0,277.412,349.787,359.009,1022.264,0,0
,,490,20.5875906,115.378277,0.00353469,0.26544651,0.900958,0.995459,91.20452,-0.0054,100.5027,0,277.418,349.98,359.254,1022.245,0,0
,,491,20.58508214,112.267599,0.00356565,0.2673553,0.899555,0.995151,91.15614,-0.0053,100.5032,0,277.413,350.083,359.374,1022.254,0,0
,,492,20.58293011,121.896361,0.00356748,0.26919209,0.881021,0.994857,90.916875,-0.0053,100.5031,0,277.433,350.182,359.516,1022.246,0,0
,,493,20.58034987,117.922435,0.00360101,0.27045568,0.90489,0.994533,90.931288,-0.0052,100.5033,0,277.428,350.272,359.601,1022.237,0,0
,,494,20.57813295,118.348434,0.00359783,0.27159266,0.880056,0.994195,90.974532,-0.0054,100.5029,0,277.425,350.348,359.654,1022.243,0,0
,,495,20.57726095,124.203276,0.00365801,0.27295144,0.891635,0.993911,90.861508,-0.0053,100.5033,0,277.438,350.415,359.681,1022.256,0,0
,,496,20.57665691,121.986843,0.00374082,0.274526,0.899117,0.993567,90.814881,-0.0052,100.5036,0,277.426,350.473,359.824,1022.252,0,0
,,497,20.57527608,116.955741,0.0037976,0.27617343,0.89119,0.993246,90.84478,-0.0054,100.5036,0,277.428,350.615,359.982,1022.246,0,0
,,498,20.57381572,118.769668,0.00378693,0.27801368,0.899468,0.992921,90.85012,-0.0054,100.5039,0,277.432,350.775,360.162,1022.231,0,0
,,499,20.57211814,120.259065,0.00382211,0.27890239,0.89715,0.992546,90.647445,-0.0055,100.5037,0,277.427,350.872,360.285,1022.24,0,0
,,500,20.57010974,117.282893,0.00382833,0.27995602,0.890899,0.992242,90.43826,-0.0054,100.5028,0,277.425,350.96,360.381,1022.27,0,0
,,501,20.5677654,119.080482,0.00383516,0.28117185,0.897026,0.991934,90.582271,-0.0053,100.5034,0,277.438,351.044,360.474,1022.253,0,0
,,502,20.56500367,116.946547,0.00384376,0.28279629,0.903608,0.991605,90.526697,-0.0052,100.5041,0,277.436,351.14,360.609,1022.265,0,0
,,503,20.56294402,122.485158,0.00387629,0.28460646,0.876294,0.991306,90.318359,-0.0053,100.5037,0,277.456,351.228,360.686,1022.288,0,0
,,504,20.56105385,124.169592,0.00387392,0.2862276,0.875346,0.990999,90.255312,-0.0053,100.5041,0,277.459,351.326,360.754,1022.263,0,0
,,505,20.55873835,116.18672,0.0037862,0.28775863,0.879888,0.990664,90.368341,-0.0053,100.5042,0,277.473,351.415,360.921,1022.286,0,0
,,506,20.55643856,121.622033,0.00375178,0.28904832,0.893957,0.990385,90.049868,-0.005,100.5035,0,277.477,351.487,360.972,1022.295,0,0
,,507,20.55394595,117.189696,0.00376005,0.29056791,0.878215,0.990054,89.94279,-0.0052,100.5036,0,277.473,351.593,361.083,1022.287,0,0
,,508,20.55156545,118.992694,0.0037881,0.29232051,0.888053,0.989764,89.784995,-0.0052,100.5039,0,277.465,351.667,361.193,1022.264,0,0
,,509,20.55004191,111.386941,0.00373909,0.29377337,0.859348,0.989468,89.695575,-0.0052,100.5041,0,277.477,351.757,361.198,1022.281,0,0
,,510,20.54820094,117.770188,0.00370355,0.29532807,0.867881,0.989125,89.815869,-0.0051,100.5046,0,277.493,351.788,361.207,1022.287,0,0
,,511,20.54541637,116.520043,0.00367884,0.29660286,0.889469,0.988871,89.932419,-0.0053,100.5047,0,277.487,351.852,361.229,1022.307,0,0
,,512,20.54360107,112.971998,0.00373483,0.29788411,0.900081,0.988559,89.862892,-0.0051,100.5049,0,277.497,351.919,361.263,1022.293,0,0
,,513,20.54193797,118.167382,0.00375827,0.29897831,0.873615,0.98817,89.618933,-0.0051,100.5052,0,277.498,351.955,361.27,1022.289,0,0
,,514,20.53988517,121.36653,0.00383968,0.30029636,0.890383,0.987819,89.519583,-0.0053,100.5048,0,277.484,351.999,361.251,1022.308,0,0
,,515,20.53994042,118.902868,0.00387893,0.30152598,0.895414,0.987468,89.46408,-0.0053,100.5045,0,277.487,352.033,361.253,1022.316,0,0
,,516,20.53881464,117.972274,0.00385461,0.30251126,0.884245,0.987131,89.644117,-0.0052,100.5049,0,277.511,352.098,361.276,1022.576,0,0
,,517,20.53852591,120.028216,0.0038332,0.30304032,0.893927,0.986826,89.44226,-0.0052,100.5052,0,277.514,352.105,361.276,1022.681,0,0
,,518,20.53825424,120.540794,0.0037991,0.3035776,0.883419,0.986498,89.524539,-0.0052,100.5055,0,277.505,352.144,361.305,1022.364,0,0
,,519,20.53759101,119.673103,0.00377617,0.30429685,0.894173,0.986182,89.389059,-0.0053,100.5053,0,277.494,352.201,361.343,1022.309,0,0
,,520,20.537659,117.367512,0.00379826,0.3050891,0.892866,0.985875,89.282861,-0.0054,100.505,0,277.492,352.268,361.425,1022.3,0,0
,,521,20.53812066,119.333069,0.00379218,0.3057586,0.892272,0.98552,89.345189,-0.0052,100.5052,0,277.514,352.312,361.403,1022.284,0,0
,,522,20.53846631,116.523668,0.00381031,0.30636356,0.898522,0.985186,89.368285,-0.0052,100.5053,0,277.513,352.343,361.359,1022.266,0,0
,,523,20.53765146,112.781152,0.00382705,0.30694962,0.873084,0.984894,88.963837,-0.0052,100.505,0,277.515,352.334,361.382,1022.264,0,0
,,524,20.53645637,121.036416,0.00382886,0.30748891,0.871989,0.984543,89.119409,-0.0051,100.5052,0,277.501,352.364,361.384,1022.24,0,0
