General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
O2 delay time (s),15,41,20.95046232,127.835372,-0.00110008,0.04201089,1.000787,0.999249,106.613371,-0.005,100.5107,0,277.444,328.202,330.48,1022.275,0,0
CO2 delay time (s),15,42,20.94996073,132.750454,-0.00107708,0.04192169,1.000233,0.99932,106.613371,-0.0051,100.5105,0,277.425,328.274,330.597,1022.285,0,0
CO delay time (s),15,43,20.94963052,131.930316,-0.0010531,0.0415193,0.999901,0.999374,106.613371,-0.0052,100.5104,0,277.442,328.325,330.756,1022.273,0,0
,,44,20.95006807,130.855002,-0.00103057,0.04152167,1.000517,0.999439,106.613371,-0.0052,100.51,0,277.447,328.381,330.819,1022.274,0,0
Laboratory,,45,20.95048767,123.542149,-0.00105245,0.04162193,1.000973,0.999542,106.613371,-0.0051,100.5096,0,277.447,328.378,330.772,1022.26,0,0
Laboratory name,Department of Fire Safety Engineering Umbrella Corp,46,20.95061463,130.158418,-0.00107226,0.04141032,1.001693,0.999591,106.613371,-0.0051,100.5096,0,277.441,328.362,330.742,1022.252,0,0
Operator,Tristan Hehnen,47,20.95040795,130.380802,-0.00107742,0.04119134,1.000873,0.99962,106.613371,-0.0053,100.51,0,277.421,328.331,330.689,1022.232,0,0
Filename,C:\CC5\Data\Umbrella_Corp_THehnen\Structured\C05\C05_50kWm2\20170707_1235_50kW_C05_1L.csv,48,20.95140156,126.59796,-0.00106426,0.04113077,1.001195,0.999721,106.613371,-0.0053,100.5093,0,277.441,328.296,330.586,1022.236,0,0
Report name,,49,20.95169827,127.996402,-0.00097381,0.04126667,1.001211,0.99976,106.613371,-0.0053,100.5099,0,277.429,328.226,330.441,1022.228,0,0
,,50,20.95211785,129.371987,-0.00094827,0.04147476,1.001596,0.999808,106.613371,-0.0053,100.5101,0,277.43,328.197,330.469,1022.242,0,0
,,51,20.95243707,127.57821,-0.0009684,0.0416593,1.000457,0.999847,106.613371,-0.0052,100.5112,0,277.426,328.257,330.546,1022.233,0,0
Pre-test conditions,,52,20.95251822,128.714939,-0.00098808,0.04210741,0.999542,0.999876,106.613371,-0.0052,100.5124,0,277.43,328.246,330.541,1022.247,0,0
Ambient temperature (�C),23,53,20.95225252,127.897733,-0.0009974,0.04202394,1.000596,0.999948,106.613371,-0.0052,100.5104,0,277.44,328.229,330.515,1022.261,0,0
Barometric pressure (Pa),100514,54,20.95054845,127.696913,-0.0010432,0.04193515,1.001227,1.000015,106.613371,-0.0052,100.5099,0,277.418,328.217,330.495,1022.279,0,0
Relative humidity (%),57,55,20.95146543,127.528938,-0.00107517,0.04207758,1.001794,0.999999,106.613371,-0.0052,100.5105,0,277.414,328.238,330.542,1022.261,0,0
,,56,20.95219049,131.442878,-0.00110836,0.04238793,1.002045,1.000071,106.613371,-0.0052,100.5107,0,277.421,328.282,330.59,1022.283,0,0
,,57,20.95250736,125.680432,-0.00119948,0.04231009,1.002338,1.000151,106.613371,-0.0052,100.5107,0,277.414,328.304,330.629,1022.286,0,0
Conditioning,,58,20.95099102,127.587791,-0.00123089,0.04206784,1.002178,1.000188,106.613371,-0.0053,100.51,0,277.423,328.309,330.602,1022.287,0,0
Conditioned? {Y/N},No,59,20.9502478,127.189112,-0.00122975,0.04193269,1.002076,1.000304,106.613371,-0.0053,100.5101,0,277.427,328.314,330.619,1022.273,0,0
Conditioning temperature (�C),N/A,60,20.94966547,129.461399,-0.00121922,0.04188942,1.002662,1.000387,106.613371,-0.0052,100.5108,0,277.406,328.275,330.56,1022.282,0,0
Conditioning RH (%),N/A,61,20.9485122,130.78236,-0.00118708,0.04200325,1.00097,1.000478,106.613371,-0.0051,100.5109,0,277.419,328.261,330.51,1022.275,0,0
,,62,20.94844608,128.584781,-0.00117392,0.04230471,1.002307,1.000614,106.613371,-0.0051,100.5094,0,277.421,328.258,330.51,1022.255,0,0
Data collected,,63,20.94865652,127.595136,-0.00114551,0.04234972,1.002136,1.000676,106.613371,-0.005,100.5099,0,277.412,328.294,330.601,1022.238,0,0
CO/CO2 data collected?,Yes,64,20.94861432,124.180155,-0.00115248,0.04208253,1.000809,1.000763,106.613371,-0.0051,100.5099,0,277.41,328.297,330.576,1022.245,0,0
Mass data collected?,Yes,65,20.94817107,129.870847,-0.00114974,0.04192915,1.001365,1.000856,106.613371,-0.0052,100.5096,0,277.424,328.31,330.613,1022.265,0,0
Smoke data collected?,Yes,66,20.94770011,125.670813,-0.0011261,0.04196623,1.002739,1.000945,106.613371,-0.0052,100.5096,0,277.409,328.296,330.541,1022.264,0,0
Soot mass data collected?,No,67,20.94805168,130.55913,-0.00110448,0.04222033,1.00285,1.001079,106.613371,-0.005,100.5089,0,277.411,328.243,330.474,1022.248,0,0
Soot mass ratio (1:x),N/A,68,20.94845239,132.598041,-0.00112267,0.04242839,1.002118,1.001195,106.613371,-0.0052,100.5096,0,277.409,328.278,330.559,1022.236,0,0
Soot mass (g),N/A,69,20.94866217,126.315128,-0.0011454,0.04225004,1.003134,1.001273,106.613371,-0.0051,100.5088,0,277.418,328.314,330.556,1022.25,0,0
,,70,20.9485336,130.128191,-0.00115262,0.04200055,1.003903,1.001409,106.613371,-0.0051,100.5089,0,277.408,328.29,330.491,1022.248,0,0
Comments,,71,20.94803117,134.085247,-0.00115238,0.04193001,1.002956,1.00155,106.613371,-0.0052,100.5093,0,277.427,328.232,330.402,1022.239,0,0
Pre-test comments,,72,20.94767225,135.843266,-0.00113482,0.04193547,1.001812,1.001633,106.613371,-0.0052,100.5093,0,277.426,328.191,330.337,1022.243,0,0
After-test comments,,73,20.94807561,129.973511,-0.00110552,0.0421125,1.003046,1.001797,106.613371,-0.0052,100.5084,0,277.433,328.175,330.282,1022.241,0,0
,,74,20.94848872,125.62699,-0.00112649,0.04238421,1.003117,1.00194,106.613371,-0.0053,100.5087,0,277.426,328.177,330.343,1022.018,0,0
,,75,20.94869752,128.677944,-0.00114846,0.04218757,1.003038,1.002071,106.613371,-0.0052,100.509,0,277.428,328.195,330.324,1022.05,0,0
,,76,20.94853804,130.366246,-0.0011308,0.04198526,1.002967,1.00217,106.613371,-0.0052,100.5093,0,277.425,328.208,330.327,1022.277,0,0
,,77,20.94797107,126.232552,-0.00107528,0.04191881,1.003575,1.002271,106.613371,-0.0052,100.5082,0,277.418,328.21,330.382,1022.275,0,0
,,78,20.94776798,128.202743,-0.00098685,0.04195443,1.004095,1.002412,106.613371,-0.0053,100.5071,0,277.422,328.216,330.36,1022.282,0,0
,,79,20.9494794,130.53438,-0.00091888,0.04232218,1.002737,1.002515,106.613371,-0.0051,100.5084,0,277.426,328.208,330.361,1022.301,0,0
,,80,20.94889713,126.143371,-0.0009017,0.04243415,1.003161,1.0026,106.613371,-0.0052,100.5094,0,277.427,328.175,330.304,1022.277,0,0
,,81,20.94866247,129.511515,-0.00091119,0.04233022,1.003602,1.002699,106.613371,-0.0051,100.5098,0,277.416,328.153,330.214,1022.279,0,0
,,82,20.94847189,128.679367,-0.00087141,0.0420426,1.00358,1.002759,106.613371,-0.0052,100.5094,0,277.424,328.126,330.164,1022.273,0,0
,,83,20.94785271,130.298166,-0.00083888,0.04191335,1.003886,1.002785,106.613371,-0.0052,100.5093,0,277.407,328.078,330.078,1022.265,0,0
,,84,20.94782311,126.864962,-0.00080838,0.04201772,1.005098,1.002906,106.613371,-0.0051,100.5093,0,277.411,328.043,330.021,1022.269,0,0
Events,,85,20.94826017,129.959917,-0.00080526,0.04237498,1.00472,1.003007,106.613371,-0.0053,100.5091,0,277.411,328.026,330.033,1022.252,0,0
Number of events,0,86,20.94863181,130.54677,-0.0008884,0.04234314,1.004781,1.00308,106.613371,-0.0053,100.5106,0,277.399,328.032,330.066,1022.235,0,0
,,87,20.94869626,126.880217,-0.00091944,0.04210853,1.004111,1.003183,106.627843,-0.0053,100.5107,0,277.41,328.055,330.106,1022.183,0,0
,,88,20.9483708,126.340715,-0.00096436,0.0419516,1.004017,1.003249,107.042762,-0.0052,100.5096,0,277.399,328.127,330.156,1021.906,0,0
,,89,20.94772151,130.086125,-0.00097294,0.04195709,1.005102,1.003304,106.917214,-0.0052,100.51,0,277.401,328.002,329.932,1021.627,0,0
,,90,20.9479581,130.344551,-0.00098205,0.04206288,1.004268,1.003354,106.864993,-0.0051,100.5106,0,277.404,327.916,329.779,1021.374,0,0
,,91,20.94843337,128.255057,-0.00102674,0.04289142,1.005323,1.003425,106.773893,-0.0051,100.5109,0,277.405,327.842,329.704,1021.201,0,0
,,92,20.94869021,123.548993,-0.00105351,0.04317627,1.005459,1.003562,106.755081,-0.0052,100.5103,0,277.382,327.827,329.682,1021.074,0,0
,,93,20.94772032,127.253837,-0.00107198,0.0429248,1.005345,1.003631,106.665914,-0.0053,100.5095,0,277.4,327.806,329.698,1020.981,0,0
,,94,20.9464652,126.474076,-0.00107547,0.04274974,1.00486,1.003674,106.618004,-0.0053,100.5087,0,277.396,327.814,329.658,1020.913,0,0
,,95,20.94572991,127.157219,-0.00105223,0.04275643,1.005404,1.003732,106.90672,-0.0053,100.5087,0,277.405,327.798,329.62,1020.882,0,0
,,96,20.94602509,130.518748,-0.0010273,0.04352164,1.003763,1.003772,106.893743,-0.0054,100.5081,0,277.394,327.787,329.607,1020.857,0,0
,,97,20.94647894,126.382796,-0.00104513,0.04395147,1.005369,1.003846,106.675657,-0.0052,100.5084,0,277.389,327.76,329.569,1020.874,0,0
,,98,20.94669738,124.670423,-0.00106758,0.043804,1.005486,1.003962,106.717861,-0.0052,100.5085,0,277.41,327.772,329.571,1020.897,0,0
,,99,20.9473,133.414805,-0.00101537,0.04357955,1.004481,1.004031,106.62704,-0.0052,100.5094,0,277.42,327.751,329.565,1020.915,0,0
,,100,20.94787678,127.287424,-0.0010578,0.04348187,1.004672,1.004158,106.575407,0.0013,100.5089,0,277.4,327.747,329.554,1020.958,0,0
,,101,20.94765859,127.187187,-0.00106035,0.04349015,1.005601,1.004293,106.823341,-0.0036,100.5092,0,277.401,327.745,329.575,1021.007,0,0
,,102,20.94806851,126.693584,-0.00102862,0.04300569,1.005961,1.00438,106.747608,-0.0052,100.508,0,277.41,327.761,329.617,1021.072,0,0
,,103,20.94848835,123.456743,-0.00104183,0.04319159,1.006135,1.004462,106.805314,-0.0053,100.5081,0,277.408,327.759,329.636,1021.147,0,0
,,104,20.94872503,125.137662,-0.001068,0.04300281,1.005772,1.00459,106.722628,-0.0052,100.5089,0,277.431,327.788,329.672,1021.224,0,0
,,105,20.94903821,130.374409,-0.00107696,0.04278695,1.005842,1.004644,106.896992,-0.0051,100.5097,0,277.419,327.777,329.648,1021.296,0,0
,,106,20.94967973,128.472961,-0.00106816,0.04270681,1.00613,1.004741,106.974339,-0.0052,100.509,0,277.41,327.801,329.683,1021.356,0,0
,,107,20.94967884,123.974971,-0.00104002,0.04281568,1.005389,1.00485,106.731139,0.0059,100.509,0,277.408,327.835,329.76,1021.398,0,0
,,108,20.95013163,123.361692,-0.00098386,0.04309401,1.005205,1.0049,106.906486,-0.0023,100.5088,0,277.423,327.837,329.773,1021.471,0,0
,,109,20.95047164,126.433577,-0.00096934,0.04323279,1.005651,1.004985,106.861805,-0.005,100.5088,0,277.397,327.862,329.776,1021.533,0,0
,,110,20.95060869,126.886827,-0.00099129,0.04299827,1.006553,1.005032,106.922571,-0.0052,100.5088,0,277.387,327.855,329.76,1021.581,0,0
,,111,20.95040906,126.621228,-0.00099931,0.0428093,1.006108,1.0051,106.712585,-0.0052,100.5099,0,277.392,327.825,329.748,1021.628,0,0
,,112,20.94983853,128.425906,-0.00099133,0.04271242,1.006031,1.005199,106.8489,-0.0053,100.5088,0,277.392,327.831,329.736,1021.686,0,0
,,113,20.94974001,127.071172,-0.0009622,0.04278382,1.005226,1.005247,106.827532,-0.0053,100.5089,0,277.391,327.821,329.739,1021.742,0,0
,,114,20.95023905,129.470792,-0.00095665,0.04310016,1.00492,1.005343,106.787595,-0.0052,100.5086,0,277.385,327.81,329.747,1021.804,0,0
,,115,20.95057598,125.199382,-0.00102768,0.04310469,1.00494,1.005443,107.005133,-0.0051,100.5094,0,277.392,327.837,329.782,1021.861,0,0
,,116,20.95062762,126.364757,-0.00107055,0.04290256,1.006198,1.005472,107.003709,-0.0051,100.5094,0,277.39,327.823,329.784,1021.913,0,0
,,117,20.95035662,130.091945,-0.00107571,0.04275068,1.006567,1.005553,106.924999,-0.0052,100.5087,0,277.38,327.824,329.749,1021.971,0,0
,,118,20.9497206,120.547424,-0.00105921,0.04273446,1.006051,1.005611,106.83464,-0.0052,100.5085,0,277.4,327.857,329.82,1021.983,0,0
,,119,20.94987534,120.798402,-0.00102924,0.04289963,1.005888,1.005631,106.781013,-0.0053,100.5096,0,277.392,327.871,329.844,1022.019,0,0
,,120,20.94897207,126.205122,-0.00102372,0.0436567,1.00629,1.005695,106.856726,-0.0053,100.5099,0,277.382,327.903,329.887,1022.046,0,0
,,121,20.94867574,126.987605,-0.00099027,0.04396466,1.006295,1.005772,106.832036,-0.0053,100.509,0,277.387,327.937,329.923,1022.051,0,0
,,122,20.94754447,127.60191,-0.00094444,0.04368047,1.006491,1.005831,106.56645,-0.0053,100.509,0,277.366,327.944,329.933,1022.087,0,0
,,123,20.94642611,126.79153,-0.00087155,0.04412811,1.006105,1.005942,106.789834,-0.0053,100.5088,0,277.368,327.959,329.973,1022.113,0,0
,,124,20.94553883,125.239583,-0.00082336,0.04431947,1.006711,1.006006,106.858186,-0.0052,100.509,0,277.378,327.985,330.045,1022.123,0,0
,,125,20.9443884,128.612206,-0.0007942,0.04451055,1.005737,1.006088,106.722986,-0.0052,100.5088,0,277.385,328.006,330.065,1022.203,0,0
,,126,20.94448627,128.475204,-0.00080959,0.04482655,1.005286,1.006167,106.716189,-0.0053,100.5088,0,277.395,328.022,330.116,1022.166,0,0
,,127,20.94321328,127.678026,-0.00089612,0.04525359,1.004824,1.006204,106.704856,-0.0053,100.509,0,277.383,328.027,330.145,1022.174,0,0
,,128,20.94276676,130.452408,-0.00098027,0.04529373,1.006392,1.006264,106.888097,-0.0052,100.5091,0,277.38,328.022,330.171,1022.171,0,0
,,129,20.94227206,126.382959,-0.00101463,0.04508785,1.006025,1.006328,106.811074,-0.0052,100.5086,0,277.387,328.051,330.197,1022.199,0,0
,,130,20.94183109,130.11115,-0.00104703,0.04506101,1.005776,1.006363,106.850553,-0.0052,100.5087,0,277.374,328.076,330.246,1022.214,0,0
,,131,20.94215904,125.193151,-0.00102984,0.04516427,1.005537,1.006429,106.841855,-0.0052,100.5081,0,277.368,328.12,330.312,1022.216,0,0
,,132,20.94111255,125.423984,-0.00104037,0.04504644,1.003578,1.006472,106.751893,-0.0051,100.5091,0,277.377,328.156,330.401,1022.214,0,0
,,133,20.94239393,123.466689,-0.00106559,0.04465166,1.002944,1.006535,106.722565,-0.0051,100.5089,0,277.38,328.187,330.453,1022.196,0,0
,,134,20.94268478,125.229948,-0.0010765,0.04435721,1.00193,1.006598,106.847537,-0.0052,100.5097,0,277.382,328.216,330.483,1022.192,0,0
,,135,20.94219887,129.727286,-0.00107011,0.04425317,1.002793,1.006622,106.756842,-0.0053,100.5096,0,277.388,328.222,330.509,1022.203,0,0
,,136,20.94189683,130.187192,-0.00098759,0.04436119,1.002913,1.006635,106.728473,-0.0052,100.51,0,277.374,328.222,330.443,1022.18,0,0
,,137,20.94372423,129.62013,-0.00095448,0.04410735,1.001571,1.006693,106.577878,-0.0052,100.5093,0,277.38,328.195,330.417,1022.191,0,0
,,138,20.9446235,129.575279,-0.00097484,0.04399383,1.000916,1.006718,106.645415,-0.005,100.5099,0,277.388,328.194,330.437,1022.193,0,0
,,139,20.94478653,125.281786,-0.00099235,0.04378778,1.000156,1.006765,106.818443,-0.0051,100.5099,0,277.369,328.186,330.399,1022.215,0,0
,,140,20.94463683,124.890005,-0.00099906,0.0435653,0.996677,1.006826,106.785976,-0.0052,100.5103,0,277.37,328.183,330.354,1022.223,0,0
,,141,20.9452503,127.035919,-0.0010443,0.04348995,0.998981,1.006867,106.83548,-0.0052,100.5102,0,277.383,328.191,330.42,1022.23,0,0
,,142,20.94576473,123.972509,-0.0010416,0.04356924,0.997051,1.006929,106.675368,-0.0053,100.5108,0,277.381,328.223,330.493,1022.236,0,0
,,143,20.94784781,125.973174,-0.00103447,0.04390741,0.995526,1.006998,106.630208,-0.0054,100.5099,0,277.376,328.281,330.574,1022.222,0,0
,,144,20.94859768,127.465539,-0.00105584,0.04456351,0.991806,1.007006,106.684658,-0.0052,100.5107,0,277.364,328.318,330.617,1022.214,0,0
,,145,20.94868986,127.021919,-0.00107178,0.04447023,0.99356,1.007123,106.805446,-0.0051,100.5092,0,277.37,328.366,330.645,1022.235,0,0
,,146,20.94842118,126.463767,-0.0010733,0.04430643,0.989215,1.007122,106.659518,-0.0051,100.5099,0,277.387,328.357,330.671,1022.231,0,0
,,147,20.94626837,123.415154,-0.00106252,0.04427013,0.986422,1.007171,106.652308,-0.0051,100.5095,0,277.372,328.367,330.722,1022.25,0,0
,,148,20.94593831,124.998394,-0.00103116,0.04441903,0.981736,1.007251,106.458152,-0.0052,100.5087,0,277.377,328.387,330.759,1022.273,0,0
,,149,20.94659236,127.044099,-0.00102981,0.04464438,0.986092,1.007296,106.506417,-0.0052,100.5096,0,277.388,328.408,330.736,1022.286,0,0
,,150,20.94831447,126.570322,-0.00105625,0.04473086,0.980355,1.007386,106.495095,-0.0053,100.5096,0,277.385,328.38,330.659,1022.29,0,0
,,151,20.94864188,126.736897,-0.00107097,0.04453431,0.981575,1.00749,106.430807,-0.0052,100.5098,0,277.389,328.374,330.665,1022.312,0,0
,,152,20.94830093,125.501811,-0.00102964,0.04433127,0.980319,1.007544,106.62622,-0.0053,100.5107,0,277.381,328.371,330.671,1022.31,0,0
,,153,20.94775676,123.25368,-0.00098435,0.04429445,0.973128,1.007624,106.731587,-0.0052,100.5103,0,277.386,328.383,330.702,1022.333,0,0
,,154,20.94797524,127.191869,-0.00094987,0.04448084,0.962585,1.007692,106.598989,-0.0053,100.5099,0,277.399,328.411,330.774,1022.33,0,0
,,155,20.94846466,125.35393,-0.0009641,0.04477724,0.978065,1.007749,106.270271,-0.0051,100.5096,0,277.4,328.445,330.91,1022.322,0,0
,,156,20.94872344,125.506593,-0.00104647,0.04464124,0.999825,1.007848,106.223609,-0.0052,100.5105,0,277.404,328.577,331.2,1022.321,0,0
,,157,20.94865596,125.977181,-0.00107546,0.04439771,1.007047,1.007925,106.370246,-0.0052,100.51,0,277.399,328.793,331.684,1022.323,0,0
,,158,20.94824932,122.718017,-0.00107403,0.04427279,1.009152,1.007973,106.26709,-0.0051,100.5103,0,277.389,329.05,332.195,1022.289,0,0
,,159,20.94769264,120.547809,-0.00099626,0.04426474,1.008162,1.008081,106.21287,-0.005,100.51,0,277.383,329.331,332.674,1022.307,0,0
,,160,20.94801383,118.84523,-0.00095222,0.04441979,1.007078,1.008117,106.333123,-0.0051,100.5092,0,277.392,329.649,333.211,1022.304,0,0
,,161,20.94850199,122.998479,-0.00089694,0.04472945,1.008205,1.008209,106.158831,-0.0051,100.5095,0,277.4,329.941,333.753,1022.321,0,0
,,162,20.94711898,125.434892,-0.00085506,0.04465351,1.00717,1.008297,106.111765,-0.0052,100.51,0,277.401,330.267,334.287,1022.335,0,0
,,163,20.94668306,123.600803,-0.00084304,0.04441167,1.008833,1.008375,106.001067,-0.0052,100.5099,0,277.395,330.563,334.816,1022.338,0,0
