Time (s),HRR (kW/m2),MLR (g/s),Specimen mass (g)
528,188.513666078862,0.13134899999999303,83.816239
529,187.91717886821,0.0613443333333403,83.755
530,186.188031236154,0.0690357500000012,83.67940300000001
531,190.72841226205298,0.0547953333333335,83.621923
532,189.857869154119,-0.007405333333329859,83.580052
533,190.00056401510898,0.00630791666666515,83.617736
534,189.201145295428,0.0361919999999998,83.55704300000001
535,191.67141127654,0.21878966666667002,83.51354599999999
536,191.70309594968003,0.17134799999999697,83.180836
537,196.918703554503,-0.141071000000004,83.23355600000001
538,193.44209217046,-0.0962499999999965,83.373299
539,193.70969202276902,0.20986149999999298,83.360398
540,192.921989473863,0.161933833333335,83.040572
541,197.351456307457,-0.0940750833333333,83.090078
542,199.010119448584,-0.0329674999999945,83.153945
543,196.760291066134,0.0590499166666601,83.138481
544,201.262873058263,0.18789224999999402,83.032186
545,197.19460471206799,0.0481581666666777,82.824605
546,202.08275898918097,0.0893074999999979,82.897644
547,201.85131656625802,0.17322233333332998,82.640043
548,200.61203114358997,-0.0859156666666673,82.62738
549,198.09151225661302,-0.0468905833333331,82.741161
550,203.86152520086299,0.173933833333336,82.6756
551,202.98208991858502,0.098826416666661,82.463116
552,200.12982154618197,-0.0335469166666679,82.490226
553,206.73156294277803,0.21985999999999697,82.444086
554,205.236138864907,0.179778249999996,82.120797
555,206.464876847062,-0.11765358333332902,82.146004
556,207.08121688317502,-0.0303933333333338,82.262909
557,209.02705098369898,0.193346000000008,82.169139
558,210.916354611577,0.148853999999991,81.94115699999999
559,210.478275902567,0.0409020000000003,81.89214
560,211.87014135989799,0.040323333333338,81.83316500000001
561,211.058799985484,0.10692924999999599,81.796027
562,211.773954954263,0.0163224999999988,81.656133
563,214.594614129691,-0.07519333333333,81.759035
564,211.15968060582802,0.16227200000000502,81.733099
565,212.601068581963,0.0767057499999986,81.509435
566,208.851843558486,-0.146572083333333,81.606597
567,213.907295120102,0.22471983333333398,81.667488
568,215.047238894702,0.255036083333337,81.238658
569,212.51574750367502,-0.14332283333333998,81.262561
570,220.08854204029097,-0.12412358333333502,81.427614
571,216.25946548981898,0.080827083333336,81.459262
572,207.583207983,0.0211015000000003,81.322783
573,216.994306405039,0.0790918333333318,81.393838
574,216.267344455038,0.170982166666668,81.15744000000001
575,214.014974123553,0.137150666666672,81.08561999999999
576,216.020620284613,0.00614458333333445,80.908825
577,216.10188266520697,-0.0663789166666741,81.050726
578,213.395439947034,0.282344666666674,80.952023
579,212.007750122957,-0.0250287500000018,80.63465699999999
580,217.248670901633,-0.200867750000008,80.968409
581,219.659914885826,0.298331666666662,80.881469
582,218.250991347585,0.15557383333333,80.51610600000001
583,220.63639236039398,-0.0537307499999974,80.596213
584,218.85718143652198,0.0269670833333346,80.553247
585,219.288585557371,0.12743349999999498,80.533828
586,219.55708028790798,0.0621670833333295,80.340631
587,217.840538775742,-0.0724620833333323,80.424487
588,220.57625877246602,0.0474957499999912,80.424524
589,224.093411120374,0.15189133333333,80.335427
590,220.942942128791,-0.0895285000000001,80.1981
591,220.210242646385,0.00961191666666868,80.43579100000001
592,222.023585948977,0.23060025000001003,80.153094
593,218.109719555126,-0.0739348333333266,80.090722
594,218.06856478666901,0.0781648333333263,80.204751
595,219.604788226017,0.0762742499999997,79.96182900000001
596,217.527228506101,0.0475276666666709,80.059928
597,213.83880850846,0.12180008333332902,79.847429
598,211.85461933299,-0.0244818333333316,79.859883
599,214.40274178166598,0.16079975000000196,79.82307
600,216.277007601357,0.21154025000000498,79.571274
601,216.62471632829602,-0.0165814166666678,79.468154
602,210.72027047918,-0.0396765000000047,79.559038
603,211.888784888221,0.00349766666665966,79.526205
604,212.954897697363,-0.0235374999999986,79.559564
605,210.98209138798802,0.22125091666666696,79.51433399999999
606,214.699020151832,0.212798999999994,79.18162
607,211.200727816735,-0.0816255833333261,79.157664
608,204.686950803932,-0.0109606666666705,79.259792
609,206.254338051737,0.12206391666665699,79.16020300000001
610,203.710805100499,0.0413300833333459,79.07040400000001
611,209.9984555637,-0.17278158333332996,79.107327
612,209.541201895297,-0.0715442500000059,79.33274499999999
613,209.796152699902,0.332290999999991,79.185552
614,210.59447821631,0.00775224999999935,78.837673
615,205.987795594418,-0.15403675000000303,79.13424300000001
616,206.79795970537103,0.238685666666665,79.0153
617,201.570598732868,0.20210200000000397,78.758127
618,206.617598575122,-0.16416025000000198,78.692973
619,202.82700112310798,-0.0982341666666535,78.980851
620,203.38604167428198,0.20124491666665498,78.827169
621,199.24266115903598,0.182931583333331,78.652885
622,202.990816875555,0.11594925000000099,78.484184
623,197.56233332937,-0.0147602499999984,78.43215
624,198.17391302980099,0.140657333333333,78.45268
625,197.62828324934299,-0.040096583333329,78.22373
626,199.50408023688598,-0.0834443333333337,78.504712
627,193.857863422033,-0.0514459166666737,78.36724699999999
628,194.728343118328,-0.0203572500000059,78.59948399999999
629,196.865540255895,0.229339250000001,78.36455500000001
630,197.02778483156501,0.0647264166666718,78.238889
631,195.83720244130902,-0.0863386666666652,78.23455799999999
632,192.369877415006,0.0755170000000061,78.336225
633,194.14143542611902,0.11142883333332902,78.107179
634,190.203832742873,0.105027249999997,78.12606099999999
635,188.922578079236,0.146688250000006,77.890392
636,185.87450209916,0.0561953333333266,77.862256
637,185.256365548903,0.0717609999999975,77.756998
638,186.676816175199,0.0122693333333335,77.733253
639,186.82174659343602,0.0117415000000006,77.7195
640,186.27561993856602,0.000278500000008582,77.70950400000001
641,183.499045097238,0.034342916666669,77.707904
642,183.881001968546,0.0590919999999938,77.643827
643,179.92451572289298,0.0161814166666699,77.606199
644,181.999541089519,-0.0161680000000004,77.604968
645,181.088589976288,0.16352975000000197,77.59120899999999
646,179.599727146858,0.145297166666669,77.329891
647,175.595625754118,-0.165711250000001,77.36794
648,174.475903960889,-0.0701539999999975,77.562382
649,171.595634101931,0.207081416666668,77.462602
650,169.94298800052601,0.07921575000000299,77.245339
651,171.97356793753897,-0.08810608333333998,77.31657299999999
652,168.384682321187,0.0529496666666643,77.344739
653,165.522876138347,0.237341249999991,77.200529
654,163.12164241673798,0.0895434999999954,76.952383
655,162.10164351510798,-0.0744642499999924,77.02582
656,162.057384089753,0.11231425,77.021589
657,164.280793971701,0.0060365833333312,76.860606
658,162.908120097375,0.0445444999999959,76.978442
659,157.222986961016,0.184894583333331,76.75308299999999
