Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
,,1032,13.3536677347347,0,0,-0.0823861666666694,-9.31970211161419,0,0,97.9901146553914,25.8321303680803,-0.00353096375654232,24.5695752452827,24.6819928588049,-8.71512222236765E-05,-0.00985873554566476,11.5433026217667,1305.80346400076,0.00167349511649276,0.0108699063410852,0.00947985306894488,62.9132899746866,94.9516614877824,71.484706
,,1033,13.5618967891498,1.16233089853807,-0.751051260220192,0.103143749999999,11.6678450226243,0.0160485932454171,0.104976708887812,98.0035724376534,25.9700754560365,-0.00312261465282887,24.699160521784,24.808134218917,-7.74662434213354E-05,-0.00876314970829586,11.5433026217667,1305.80346400076,0.00165531208955697,0.0108276914173471,0.00957911466579501,62.922819458554,94.8727709948242,71.678424
,,1034,14.056891257556,4.3654507264789,-0.374770842978525,0.0284650833333361,3.22003205128237,0.0581099699252777,0.382730425445788,98.0173818316767,26.2321746440873,-0.000425828842603651,24.9433825808932,25.0520448804303,-1.06678832762883E-05,-0.00120677412627696,11.5433026217667,1305.80346400076,0.00165410513642068,0.0108944534545175,0.00985735982123644,62.9325376957975,94.7943731447551,71.335491
,,1035,13.8973488702398,0,0,-0.167522249999996,-18.9504807692304,0,0,98.0313589517406,25.8509064425257,-0.00640251219958252,24.5761617413511,24.6839766434857,-0.000158039461594127,-0.0178777671486569,11.5433026217667,1305.80346400076,0.00163145126342728,0.0107697416506688,0.00974414329503867,62.9423384473556,94.7162888422615,71.648291
,,1036,13.6434724702695,0,0,-0.00437258333333664,-0.494636123680615,0,0,98.0451293624109,25.8548566445499,-0.0123025781031221,24.5791118952585,24.6891394306669,-0.000303740066144651,-0.0343597359892139,11.5433026217667,1305.80346400076,0.00161804840161206,0.0108920096899823,0.00961913932025493,62.9520200886633,94.6381557552229,71.585223
,,1037,13.3098865034781,1.16854174053041,-2.12944149102981,0.100689083333335,11.3901677978885,0.0156552473776684,0.107376465144718,98.0586060418978,25.5804894184507,-0.00877530311877378,24.3204555029168,24.4335162947308,-0.000214411511743761,-0.0242546958986155,11.5433026217667,1305.80346400076,0.00157631250781403,0.0108116378469954,0.00940987793293084,62.9615345972899,94.5598901079053,71.666013
,,1038,13.3669454303288,1.76362560882521,-1.7260615411909,0.0670005000000072,7.57924208144878,0.0232935423138174,0.160370298295596,98.0719444578647,25.6701102368474,-0.00471610124706697,24.4074061860453,24.521735270738,-0.000115646986290573,-0.0130822382681644,11.5433026217667,1305.80346400076,0.00156067898179709,0.0107448901709553,0.00942426060505202,62.9709516665589,94.4816420595999,71.424796
,,1039,13.6479365077071,0,0,-0.174023750000009,-19.6859445701368,0,0,98.0854518988337,25.985424671085,-0.00656702988943373,24.7070632598423,24.8230909862835,-0.000163013980455056,-0.0184404955265901,11.5433026217667,1305.80346400076,0.00156476112935221,0.0109637564968344,0.00961092721669386,62.9804692604697,94.4037073136031,71.573144
,,1040,13.9474603239964,0.771171545041125,-1.79330080406375,0.159880833333332,18.0860671191552,0.0097263728741402,0.0692015256869226,98.0992495972495,25.9652791925867,-0.0115600264948151,24.6886440239997,24.8022292249629,-0.000286714426971048,-0.0324337587071321,11.5433026217667,1305.80346400076,0.00155506060042825,0.0110639975947632,0.00978562225705521,62.9901675352066,94.3262015358168,71.646277
,,1041,13.99703391187,2.00435394291368,-4.1448611000998,0.0617325000000063,6.98331447963872,0.025155226149034,0.181104016014867,98.1132218443674,26.1014627501361,-0.0102655215075628,24.8143627636186,24.9254397522259,-0.000255872637861937,-0.0289448685364182,11.5433026217667,1305.80346400076,0.0015528949982454,0.0111800036686389,0.00982885451531947,62.9999747735928,94.2490123384894,71.349576
