Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²),Specimen mass (g)
,,126,93.0168418552968,12.008702469241,63.9871717358855,0.0684727500000086,7.745786199096,0.00488430793115255,0.722219208506419,3.59760197571586,25.4354772495736,0.175955688076851,24.3651515412989,24.9004602315856,0.00438137761347891,0.495630951751007,0.196451557096028,22.2230268208176,0.000334441995892868,0.0494523353092641,0.058310770206002,2.22242937882896,28.5523966326655,103.726148
,,127,93.7388639035039,0,0,-0.0101925833333271,-1.15300716440352,0,0,3.69097982859526,25.5060771131085,0.226783762279853,24.4341526974876,24.9687806824125,0.00566251402269802,0.64055588492059,0.201473502914116,22.7911202391534,0.000332615023054574,0.0497472758289925,0.058749299072566,2.28095941346824,29.0628332960256,103.678056
,,128,92.3774250268886,0,0,-0.0638513333333369,-7.22300150829603,0,0,3.78403797306045,25.1036088138082,0.225815545935578,24.0515839103616,24.5759278013095,0.00554962655332606,0.62778580919978,0.207079573202128,23.4252910862136,0.000323559886328919,0.0492741626315936,0.0579323269141883,2.33930022646162,29.5627966645348,103.735529
,,129,92.5489746870815,8.23907843627727,51.0750349871965,0.0992990833333375,11.2329279788843,0.00324830100266858,0.501295653776713,3.87650117291744,25.2288186275456,0.20533388550947,24.1743323927518,24.6997914779772,0.00507170415544675,0.573722189530176,0.212390238556514,24.0260450855786,0.000322553311955751,0.0497781988990138,0.0581009298879888,2.39731685486271,30.0503966892825,103.754697
,,130,91.1525635999297,7.90459673014475,54.842398605667,0.101939249999996,11.5315893665154,0.00303543740141515,0.481823278914297,3.96835194206094,24.7211067056006,0.230960830879925,23.6914110062732,24.2058056370997,0.00559059298206254,0.632420020595309,0.217721387125269,24.6291161906413,0.000309430212122197,0.0491167036850625,0.0572356465849008,2.45498514309915,30.5257841696996,103.57306
,,131,94.3054683281149,19.9079896842354,139.735956726988,0.0418756666666695,4.73706636500787,0.00750552786007512,1.21793575294081,4.06108095802496,25.5583445999709,0.2338139846335,24.4984796288732,25.0264600486567,0.00585153634524753,0.661938500593611,0.223442451788924,25.2762954512358,0.000314298982825907,0.0510018716115687,0.05924138236372,2.51322365757347,31.0006180001906,103.569893
,,132,93.9600706337087,35.1049713054726,200.212193893826,0.0236606666666752,2.67654600301756,0.0131553984537011,2.15524329673439,4.15521372750588,25.4477522957117,0.190074901505662,24.3967965726293,24.9225644459137,0.00473715398232556,0.535877147321896,0.228736796952711,25.8752032751935,0.000311265497680316,0.0509944932296185,0.059050914995547,2.5723698062531,31.4788918750445,103.480368
,,133,93.7439861161026,28.7145399522886,166.715952686363,0.0288598333333319,3.26468702865745,0.011297816498451,1.76476500100941,4.24906575588078,25.3255500449667,0.193957810577797,24.286166400812,24.8063978150868,0.00481139460853609,0.54427540820544,0.233511071248141,26.4152795529572,0.000326053101175863,0.0509308238016289,0.0589298435474656,2.63136018552461,31.9478628261713,103.515669
,,134,94.1130153324388,26.293772216002,151.893123486024,0.0316409166666638,3.57928921568595,0.010690411249487,1.61691743795564,4.34299425660505,25.26841836448,0.194168683634969,24.234956698638,24.7518681822851,0.00480603766246057,0.543669418830381,0.23831978738364,26.9592519664751,0.000338254411477382,0.0511607499112299,0.0591718990820298,2.69041105683935,32.4104049000377,103.423196
,,135,93.1047035067409,0,0,-0.00830025000000016,-0.938942307692325,0,0,4.43660311602464,24.9897312059204,0.229804620124243,23.9731158554905,24.4869442495775,0.00562721292127768,0.636562547655846,0.243536412675509,27.5493679497182,0.000349495422789679,0.0508538741661962,0.0585802898690795,2.74928715131491,32.8637267853677,103.458835
,,136,96.0931530552939,8.79351153117967,61.658068048915,0.0966011666666731,10.9277337858227,0.00372987830872753,0.54753653185915,4.53120204430566,25.853321709003,0.235085154344242,24.8054540030498,25.3365267770861,0.00595624130793831,0.673782953386687,0.249328139790117,28.2045407002395,0.000360310596147797,0.0528926677702179,0.0605213013481793,2.80883794692354,33.3176620904828,103.405387
,,137,95.1381613896105,4.65839152030391,33.1914038081948,0.180539000000002,20.4229638009052,0.00194717426951713,0.289669963858061,4.62681770152811,25.4396125217586,0.240294468906049,24.4141312761558,24.9374980598103,0.00599234285212774,0.677866838475989,0.25530243187015,28.8803655961708,0.000351540895444357,0.052296725604971,0.0599085124332586,2.86905285381426,33.772391981957,103.273594
,,138,96.2960982482242,23.3795047254614,123.621084852928,0.0364104166666645,4.11882541478105,0.00968977818169012,1.44675562567004,4.72253483134703,25.6343459705888,0.179076327686188,24.6063859281684,25.1350654016531,0.00450109520828018,0.509173666095043,0.260549150900354,29.4738858484563,0.000352808861002892,0.0526769751454872,0.060598765159819,2.92930649261079,34.2212668938191,103.100482
,,139,94.8854245399708,0,0,-0.0394440000000031,-4.4619909502266,0,0,4.81812559274113,25.1886156990772,0.220356182311541,24.1846632609283,24.7065748925227,0.00544424652131048,0.61586499109847,0.265521821765149,30.0364051770531,0.000337972953483445,0.0519538770776133,0.0597151783435891,2.9894634643625,34.6627740484973,103.186063
,,140,95.1651429767444,19.7824802510111,105.375800935989,0.0425255000000024,4.81057692307719,0.00800909739746073,1.23397885603424,4.91315087649948,25.2887622266419,0.180631850387479,24.2856155731663,24.8082418083576,0.00448115862270365,0.506918396233445,0.270484524337156,30.597796870719,0.000340590871375735,0.0524755678422869,0.0599472893549559,3.04929469821177,35.0939348321392,103.142064
,,141,96.7846226161388,0,0,-0.0523168333333276,-5.91819381598729,0,0,5.00912575929593,25.7934843119423,0.19648616917123,24.7728726046524,25.3071711352756,0.00497250910893103,0.562501030422062,0.275211358202974,31.1325065840468,0.000329563092216014,0.0537461560956063,0.06101722391235,3.10977695484542,35.5257146049356,103.132922
,,142,94.2551033333709,6.16065405952529,39.6122576806149,0.135247833333333,15.2995286576169,0.00230712354040868,0.387539139167863,5.10464562227068,25.1627733983999,0.216982748690511,24.1699678590384,24.6907740688011,0.00535747202474485,0.606048871577472,0.280376348769811,31.7167815350465,0.000312033460072602,0.0524138289043186,0.0594295586765981,3.1700003461399,35.94820860754,103.18566
,,143,94.5070993575346,6.44880554473682,43.3227736031297,0.129549999999992,14.6549773755647,0.00227239994329438,0.406774292738572,5.19902672361613,25.233360529225,0.226617459747131,24.242485359538,24.7662529027893,0.00561246532028512,0.634894267000579,0.285861317442326,32.3372531043356,0.00029438941265377,0.0526976096242789,0.059602853705425,3.22951655233091,36.3568302350779,102.907029
,,144,93.8842364889206,0,0,-0.00561108333333256,-0.634737933634905,0,0,5.29322239153936,25.0251904935267,0.211826560754063,24.0455366554692,24.5560553470025,0.00520162474984195,0.588419089348637,0.29126836247739,32.9489097825102,0.000287664977731357,0.0522876392097066,0.0591990466355032,3.28891750250137,36.7584888301344,102.957894
,,145,95.0909181763006,8.50862279562323,59.2999984569627,0.0987943333333448,11.1758295625956,0.0029926174650378,0.534473451956065,5.38770996887197,25.2713373182177,0.236338898190587,24.2789708585698,24.7885720847341,0.005858503814224,0.662726675817195,0.296798426759423,33.5744826650931,0.000295653647380134,0.0528029483703709,0.0599385855986015,3.34848631861843,37.1566204749791,102.865394
,,146,94.7139684773583,13.0335758405422,88.5801753264852,0.0642395833333348,7.26692119155371,0.0049262236834233,0.825796021033975,5.4826124121988,25.3684676401698,0.228697726649616,24.3729334755976,24.8815483998459,0.00569035355456716,0.643705153231579,0.302572855443819,34.2276985796175,0.000316458556829919,0.0530487923095483,0.0597766779914534,3.40834395041345,37.5521398095808,102.785247
,,147,93.6404322035124,4.59600040908044,24.7540595789693,0.180109083333322,20.3743306938147,0.00176320014015888,0.293796524800148,5.57678961253924,25.2458607724636,0.180017999373679,24.2582117480696,24.7665844252154,0.00445843097954659,0.504347395876311,0.307647247710875,34.8017248541714,0.0003175683609772,0.0529154227682702,0.0591702651290882,3.46781742197372,37.937344302988,102.711385
,,148,93.9843334615841,0,0,-0.0049980000000005,-0.565384615384672,0,0,5.67060199537178,25.3869751936481,0.160726668063288,24.399484161418,24.9089733091036,0.0040035362848496,0.452888720005611,0.311878231343073,35.2803429121124,0.000330006147082675,0.0531842384672196,0.0594028448842418,3.52710397698039,38.3148783471066,102.496697
,,149,94.4116101990148,0,0,-0.196044916666672,-22.177026772248,0,0,5.76479996720208,25.4937149312897,0.163946224933699,24.5069804118997,25.0160131318978,0.0041012809158665,0.463945804962274,0.315930639943432,35.7387601745963,0.000346489732248217,0.0533310809157637,0.0596645243312535,3.58663766158814,38.6899326657858,102.718303
,,150,92.3577476589965,12.6995674113068,57.2602991931073,0.0642890000000023,7.27251131221745,0.00534033514689677,0.808256195509925,5.85818464613109,24.8760355461831,0.150830549029787,23.9168004406898,24.4062452766039,0.00368120737482581,0.416426173622829,0.319821884088778,36.1789461638889,0.000343324806258858,0.0519619825531394,0.0583372546041756,3.64563855105585,39.0545643075406,102.780615
,,151,92.9488140034931,6.17287680145798,28.756442531128,0.133109333333335,15.0576168929112,0.00276590107756001,0.395228373840821,5.95083792696233,25.180654221019,0.154947895483133,24.2093876482124,24.7034713341651,0.0038277508943568,0.433003494836742,0.323576363223369,36.6036609981187,0.000368167248499965,0.0526085853563697,0.058765714567689,3.70419003564178,39.4095226951148,102.63019
,,152,93.3665968270979,0,1290.07308316158,0.00334799999999428,0.378733031673561,0.109201839267361,15.9002046921272,6.04399563237763,25.4323706857115,0.173115410851432,24.4512509035298,24.9496255773804,0.00431916468241759,0.488593289866244,0.327649821011756,37.0644593904701,0.000365607757866499,0.0532338853091508,0.059085778986706,3.76311578241898,39.7631291603791,102.563261
,,153,92.22496539008,8.23976755054561,48.0104164194778,0.0989431666666765,11.19266591252,0.00360227129080747,0.537852449712525,6.13679141348622,25.3799147708723,0.190845997608086,24.400531169777,24.8907637208299,0.00475030263352894,0.537364551304179,0.332184554669729,37.5774383110554,0.000356420128704948,0.0532168245739867,0.058455083695018,3.82188621375984,40.1097478005635,102.576783
,,154,89.9386933710168,10.139095893325,66.9975370576067,0.0784150833333387,8.87048453997044,0.00422269661091037,0.668007891450183,6.22787324286677,25.0165460260656,0.214161780704002,24.050263621832,24.5310691488965,0.00525361745150068,0.594300616685597,0.337186514712244,38.1432708950502,0.000331123106635944,0.052381894475394,0.0570705149741996,3.87964901309445,40.4407353432907,102.393535
,,155,89.2017064302544,0,0,-0.112791166666672,-12.7591817496236,0,0,6.3174434427674,24.8696973545491,0.148411952122437,23.9088758400395,24.3829861341185,0.00361872657073884,0.409358209359597,0.341622686723364,38.6451003080728,0.000322142007289765,0.0519809778579165,0.0566042067103665,3.93648637393673,40.7576996307574,102.4597
,,156,88.4691895664095,0,0,-0.105524583333339,-11.9371700603325,0,0,6.40627889076573,24.5988913483196,0.134187353284512,23.6507609870434,24.1177585204478,0.00323629818301388,0.366097079526457,0.34505019910024,39.0328279525159,0.000304786439177842,0.0513866805211471,0.0561088361250056,3.99284289535442,41.0658903254214,102.567578
,,157,90.6197685673269,7.38612452496396,35.1975203514609,0.108457250000003,12.2689196832583,0.00292069897336238,0.488524075625705,6.4958233698326,25.3569484986604,0.153529137252368,24.3828306671445,24.8645067148628,0.00381742626413859,0.431835550241922,0.348577061323817,39.4317942674001,0.000316770978728716,0.0529839778011575,0.0575258860102592,4.04966025642205,41.3746711454306,102.615633
,,158,89.1842950310041,3.4267149717965,14.826247785387,0.230071416666661,26.0261783559571,0.00138569041141993,0.227280462049283,6.58572540163177,25.0689740059309,0.138769272701807,24.1068418044708,24.5810600965305,0.00341109583183494,0.385870569212097,0.352191322371803,39.8406473271271,0.000318807756016792,0.0522907378843318,0.0566385728876306,4.106742485871,41.6818063394416,102.374704
,,159,88.6045119073161,6.05205396794181,25.309121389744,0.129421166666669,14.6404034690802,0.00234827455598267,0.402095405764059,6.67461980510093,24.9556427647697,0.133873917905441,24.0004038814805,24.4673202130576,0.00327553601756902,0.37053574859378,0.355534638296505,40.21885048603,0.000303916432688931,0.0520396565252923,0.0562783612357533,4.16320095293269,41.9787409125844,102.218195
,,160,88.1485917446148,0,0,-0.112349833333335,-12.7092571644045,0,0,6.76299635692689,24.9218443025324,0.168960473624849,23.9690281557595,24.4290319668388,0.00412754081131367,0.466916381370324,0.359236176710947,40.6375765510121,0.000289308955230954,0.0518674947345824,0.0559973469120082,4.21933880700657,42.2687272307931,102.148931
,,161,89.7890467344167,0,0,-0.0178730833333347,-2.02184200603334,0,0,6.85196517616641,25.5176996417948,0.196810698632703,24.5400073843747,25.0060241122196,0.00492145307555215,0.556725461035311,0.36376067365438,41.1493974722149,0.000293143762106525,0.0530186399005255,0.0570659010765874,4.27587043100087,42.5587899140771,102.362503
,,162,89.6366562975133,11.9544240762165,67.3556401098963,0.0662840833333398,7.49819947209726,0.00468377675527577,0.796880772433442,6.94167802768237,25.4315513437672,0.179174008687446,24.4567277558382,24.9177148779594,0.00446460686201481,0.505046025114798,0.368453703623163,41.6802832152899,0.000310459848761459,0.0528205115267145,0.0569600454501141,4.33288340426422,42.8498643684097,102.18097
,,163,89.1792617297241,27.5525371685656,98.1297149962314,0.0286124166666646,3.23669871794848,0.0112018136022126,1.84412762303992,7.03108598669599,25.3851352322764,0.112902679397353,24.4120189574023,24.8685709483618,0.00280772829285322,0.317616322720952,0.372089871200597,42.0916143892078,0.000320510958208817,0.0527649479369239,0.0567056425964671,4.38971624828751,43.1354968508957,102.26003
,,164,87.9987718765532,0,0,-0.007526333333337,-0.851395173454412,0,0,7.11967500349913,25.2718193268583,0.131706296425623,24.3020451524652,24.7561298285467,0.00326053817354978,0.368839159903821,0.375124004433799,42.4348421305202,0.000320891251246616,0.0526561926991851,0.0560442118194686,4.44609117549548,43.4126524603606,102.124556
,,165,87.5691789423296,18.1594479881516,87.9056683561569,0.04262858333333,4.82223793363462,0.0074068181567352,1.22781398018296,7.20745897890857,25.2117479013582,0.151710577890128,24.2477053426208,24.700282347526,0.00374729410899251,0.423902048528564,0.37862792057507,42.8312127347364,0.000315742165029209,0.0523399705720569,0.0557597737902662,4.50199316830034,43.6815695691429,102.25454
,,166,86.3880518389164,13.3970599985853,44.7060218390237,0.0570028333333331,6.44828431372546,0.00515119295746342,0.911042610574011,7.2944375942992,25.0994153296162,0.103611877306486,24.1402366554105,24.5953454192137,0.00254836991188622,0.288277139353645,0.381775752585509,43.1873023286775,0.000293632593622126,0.051932010090115,0.0550439562788265,4.55739503333489,43.9423951463807,102.046734
,,167,86.3474193507235,52.1043382370855,202.524397726693,0.0146496666666636,1.65720211161353,0.0196476528821375,3.53953892667626,7.38080532989402,25.0956327830846,0.120640332054407,24.1397251067678,24.593059949676,0.00296691491856285,0.335623859565933,0.384533395000734,43.4992528281373,0.000287831565505625,0.0518530654294874,0.0550075386553373,4.61242078080197,44.1964391011618,102.148997
,,168,86.81743444019,3.19386191205816,12.0187121779928,0.240294083333339,27.1825886123687,0.00114563543951325,0.216109589384366,7.46738775678947,25.1477737579223,0.117195826636707,24.1907344396553,24.6427326683786,0.00288802542565801,0.326699708784843,0.387460865172844,43.8304146123127,0.000275289417772024,0.0519298556806606,0.0552710107465911,4.66756005550294,44.4487366475564,101.964246
,,169,86.286356540468,24.2757827197091,106.812327266617,0.0314210833333277,3.55442119155291,0.00884635683960022,1.64408079889822,7.5539396522798,24.9907714687025,0.137059751641132,24.0404147143418,24.4868314431109,0.00335615903607106,0.379655999555549,0.390582957403709,44.1835924664829,0.000277962115453432,0.0516587997889051,0.0549416894115533,4.72266640558201,44.6978677649692,101.770432
,,170,85.0959891301252,0,0,-0.169704916666667,-19.1973887631977,0,0,7.6396308251151,24.9123437828808,0.15795576429687,23.963981987546,24.4054709091857,0.00385498481048547,0.436084254579804,0.394188529326987,44.5914625935505,0.000278166729406394,0.0516058573802603,0.0542830040024746,4.77727875228902,44.9390048536182,101.901743
,,171,84.1517382590359,0,0,-0.0398111666666701,-4.50352564102602,0,0,7.72425468880968,24.7723114508378,0.129949348829533,23.8292803989681,24.2662536456629,0.00315338385978618,0.356717631197532,0.397692713662123,44.9878635364392,0.000270853464893821,0.0513216792405303,0.053721571546153,4.83128104006333,45.1710800515186,102.026026
,,172,84.7816043296275,7.62347334624029,24.1693530000384,0.0983107500000019,11.1211255656111,0.00273228569164097,0.525166362956466,7.80872136010401,24.9671137243983,0.0971772131791675,24.0168790249949,24.4512797055386,0.00237610722044857,0.268790409553006,0.40045745920224,45.3006175568145,0.000268613055559497,0.0516294990170234,0.0541103866125415,4.88519701914268,45.3995427913024,101.972539
,,173,83.822706961059,6.85505091184091,23.2718602223243,0.108094416666669,12.2278751885372,0.00257562354127175,0.468852080028828,7.89302351574935,24.6242894337217,0.104300689491445,23.6889151869514,24.118327191756,0.00251555815548041,0.284565402203666,0.402903291890205,45.5772954626928,0.00027841052424671,0.0506802920936707,0.0534486758235203,4.93897655036071,45.6244133858344,101.859066
,,174,85.7481277661182,3.66296982550463,10.9946584586588,0.206939583333329,23.4094551282046,0.00141470301156653,0.248989166869193,7.97780893311294,25.0839649460019,0.0925857124220753,24.1361721434157,24.5743104503524,0.00227523004032712,0.25737896383791,0.405298685988108,45.8482676457136,0.000292758051753983,0.0515257144464236,0.0546321565523144,4.99301696654863,45.8494766270859,101.745792
,,175,86.3382141366253,15.5421795867731,66.3810365838276,0.0491070000000065,5.55509049773829,0.00614362261550988,1.05825622595375,8.06385210406432,25.2864745029858,0.131570954769535,24.3327482188304,24.7757840568415,0.00325977356352245,0.368752665556838,0.408066187790033,46.161333460411,0.000301694875779883,0.0519677884879175,0.0550238328200636,5.04784496123482,46.0791548803675,101.509183
,,176,85.2147420416887,0,0,-0.166439250000007,-18.8279694570144,0,0,8.14962858215347,25.2179371876427,0.0866952351615741,24.2705088147669,24.7138432735738,0.00214257245434877,0.242372449586965,0.410767360798969,46.4668960179829,0.000300745456608112,0.0519403383743378,0.0544051083450903,5.1025594318174,46.3047078531447,101.65675
,,177,86.4330314826508,12.1626852889171,41.74365391462,0.0628206666666671,7.1064102564103,0.0047788915304026,0.843459890527548,8.23545246891564,25.7257138595348,0.103995198274953,24.7627776505888,25.216204320182,0.00262236416801906,0.296647530318898,0.413149829110153,46.7364060079358,0.00030021315186758,0.0529867126295346,0.0552258459525864,5.15737490896623,46.5279800503709,101.736014
,,178,83.5245690299279,5.15342356149074,14.9492362978367,0.143275083333336,16.2075886123683,0.00199360648642793,0.354782413012832,8.32043126917193,24.8403685418446,0.0879605629124104,23.9130332409594,24.3501519934008,0.00214185307634228,0.242291071984421,0.415531937732333,47.0058753090875,0.000285634135476841,0.0508314797896155,0.05330961646581,5.21164264017543,46.7439958942243,101.563169
,,179,85.1050808079758,0,0,-0.0361084166666619,-4.08466251885316,0,0,8.40474609409088,25.2518706699473,0.108198418506672,24.3081007902014,24.7489573903032,0.00267779804931982,0.30291833137102,0.417941763295164,47.2784800107652,0.000290632098136035,0.0515521886157896,0.0542822011178942,5.26543854896729,46.9538887938038,101.514383
,,180,85.8729786499071,0,0,-0.0767825833333309,-8.68581259426821,0,0,8.49023512381982,25.3916317057133,0.158274944082448,24.4396907192252,24.8787455910043,0.00393768206725765,0.445439147879824,0.421249503353453,47.6526587503906,0.000297706813887563,0.0518486408309161,0.0547488968776755,5.31995409796507,47.1679729101101,101.603003
,,181,86.8413064787285,15.9258655054864,69.7818693840683,0.0482031666666719,5.45284690799456,0.00638423641161841,1.08621255255022,8.57659226638414,25.7083677585603,0.133548705647492,24.7449161813142,25.1871185416865,0.00336370708023217,0.380509850704997,0.424900197927198,48.065633249683,0.000307740411788678,0.0523588847060093,0.0553574068036904,5.37500724980575,47.3844876595809,101.621385
,,182,84.5789045276934,3.37144637997414,10.5418352470123,0.221767583333342,25.086830693817,0.00127975614308712,0.232872157696929,8.66230237188735,25.346043278099,0.0941265813416423,24.397390239239,24.8371638840545,0.00233783732662816,0.264461236043909,0.427750970130628,48.3881187930575,0.000283808427108429,0.051643495638069,0.0540047356514639,5.42968832103333,47.595067977403,101.497794
,,183,84.0922975504768,8.86953769104503,28.9931458389062,0.0838122499999917,9.48102375565517,0.00309407593090872,0.613982023215225,8.74663797292644,25.2841840678951,0.098102208102727,24.3371304039937,24.7698888162852,0.00242998078733662,0.274884704449844,0.430134879187611,48.6577917633044,0.000259321465440279,0.0514592148252151,0.0537014835362863,5.48354143062721,47.7958359176308,101.251149
,,184,86.0932800983333,7.41642222336658,39.3390896124994,0.102618833333331,11.6084653092003,0.0022436470810486,0.508995900813764,8.83173076175085,25.8381925716702,0.159531777478387,24.8674614383472,25.3048737012722,0.00403693148043005,0.456666457062222,0.433368335321494,49.0235673440604,0.00023024044586894,0.0522325655129563,0.0548976053503831,5.53784097507054,47.9985367486459,101.302326
,,185,81.9830762250641,13.4043639358692,64.6882870476849,0.0540667499999934,6.1161481900445,0.00389689564834914,0.922904977013061,8.91576893991254,24.7292813958353,0.144440929655956,23.7979710497896,24.2139499660217,0.00349748544373499,0.395643149743777,0.437135543783576,49.4497221474634,0.000210692482795355,0.0498984726659148,0.0522965585752176,5.59143805703334,48.1933456211489,101.063388
,,186,83.5390872304972,0,0,-0.152638750000001,-17.2668269230771,0,0,8.99853002164032,25.2023663805118,0.097648576290323,24.2513842432519,24.6706114525085,0.00240905008454919,0.27251697789018,0.440088811547718,49.7838022112804,0.000217604029125392,0.050770811414494,0.0532789503665545,5.64422581150423,48.3791936647329,101.227132
,,187,82.9845889731751,0,0,-0.0877250833333273,-9.92365196078363,0,0,9.08179185974216,25.0963856719019,0.0834877117136211,24.1505395180618,24.5647351412693,0.00205085352579575,0.231997005180515,0.442318763352891,50.0360592028157,0.000224096303021098,0.0504465875696653,0.0529299047709601,5.69733023907298,48.5657318702789,101.298398
,,188,83.5804958662088,4.5587298607875,12.4425231950023,0.162074000000003,18.3341628959279,0.00146411011399512,0.315029069415386,9.16507440216185,25.359350800858,0.0812496910703964,24.4040964911948,24.8199036542749,0.00201660950430684,0.228123247093534,0.444352494867942,50.2661193289527,0.000237294182615649,0.0510580213964301,0.0533516127218638,5.7504709978194,48.7503957561801,101.350741
,,189,81.6558499619191,2.07875325573228,6.70174693002497,0.347245499999991,39.2811651583701,0.000665848567724565,0.143375021926503,9.24769257507592,24.8757940971902,0.0955965629626618,23.9367121882018,24.3434637341394,0.00232715146358993,0.26325242800791,0.446524375351891,50.5118071665035,0.000231212918823795,0.0497863311763782,0.0521075734975693,5.80320059092911,48.929590344317,100.999559
,,190,81.60795840721,53.4483279382665,144.270466427468,0.0134974166666725,1.5268570889901,0.0182217412684676,3.69460958969188,9.32932447926048,24.9922526416498,0.0796087359932243,24.0494819548653,24.460614451063,0.00194727859806673,0.220280384396688,0.448661590382719,50.7535735727058,0.00024594643429281,0.0498676850527553,0.0520986168724875,5.85530368611414,49.1017077855815,100.781308
,,191,82.9600099959879,0,0,-0.0216051666666649,-2.444023378582,0,0,9.41160846346208,25.3495901141056,0.079655705300561,24.3957083224252,24.813149810197,0.00197650894885972,0.223586985165127,0.450623484156182,50.9755072574867,0.000255072063580242,0.050541646783221,0.0529411497272754,5.90782356941402,49.2754369814769,100.90988
,,192,83.8085033393202,16.3000502990979,53.0699315448983,0.0454518333333359,5.14161010558098,0.00578766211998185,1.1162059745487,9.49499272012973,25.5518262097881,0.0964522268537123,24.5915643633677,25.0085017451043,0.00241212568359026,0.27286489633374,0.452817801472407,51.2237331982361,0.000263059854067077,0.0507336079208611,0.0534360137258809,5.9610121511406,49.453087084009,100.795278
,,193,82.8863905487281,0,0,-0.0424925833333335,-4.8068533182504,0,0,9.57834016707376,25.3388941199358,0.0818522378652934,24.3879258622239,24.8017474843713,0.0020300785345657,0.229646893050419,0.455038903581485,51.4749890929282,0.000264087639916592,0.0503723895991157,0.052878905411542,6.01416961070931,49.6287055288796,100.852057
,,194,80.9777410708986,0,0,-0.065097750000002,-7.36399886877851,0,0,9.66027223288357,25.052868369627,0.0702598865415913,24.1113578317411,24.5200116885522,0.00172277323923617,0.194883850592327,0.456915329468386,51.6872544647496,0.00024484453998319,0.0498400263634946,0.0517488120618619,6.06648346944601,49.7952176952761,100.864146
,,195,80.2191332204378,20.963332722455,56.5565657103953,0.0338274999999915,3.82664027149226,0.0069316497146738,1.46674684626403,9.74087067002924,25.0980708031544,0.0778670822710119,24.1573487032099,24.5696534500837,0.00191316722656792,0.216421631964697,0.458733299701288,51.8929072060281,0.000234480380723069,0.049616378941984,0.051295631955056,6.11800569145447,49.9531829232269,100.950913
,,196,79.6876026712604,6.70092269909546,21.7783855585227,0.105125583333327,11.8920343137248,0.00219145209659377,0.468242564775698,9.82082403797509,24.9693508114123,0.093648935782555,24.0353622224897,24.4473198415596,0.0022894654858978,0.25898930835948,0.460834616057521,52.1306126761902,0.000230377680001462,0.0492242727635384,0.0509448973776354,6.16912595612082,50.1062450917096,100.804953
,,197,79.751833196166,0,0,-0.0372971666666674,-4.21913650075423,0,0,9.9005437559088,25.155054523149,0.0714779950686479,24.2139059407609,24.6217337880552,0.00175991216628417,0.199085086683729,0.462859304883612,52.3596498737118,0.000233628538149603,0.0495534964320487,0.0510297815813583,6.22011329560032,50.2565672888772,100.784443
,,198,79.4829982335605,3.01052613161892,6.34203874675115,0.233391000000001,26.4016968325793,0.0010348450105995,0.213842692310145,9.98016117162367,25.3188624018998,0.0597326624571345,24.3702230629362,24.7799897787113,0.001480174765143,0.167440584292195,0.464479348349326,52.5429127091997,0.000241523511868828,0.0499089598009572,0.0509384598086707,6.27109741629533,50.4048544021397,100.793893
,,199,77.938476446844,9.34684412283922,27.349996352165,0.0737121666666691,8.33848039215713,0.00326685443077089,0.667120813922794,10.0588719089639,24.9989204427556,0.0824014007419883,24.0630471902441,24.4659371235214,0.00201602748944357,0.228057408308097,0.466227449476619,52.7406617054999,0.00024080691827673,0.0491749206226809,0.0499846498617697,6.32155897113055,50.5470950199189,100.414867
,,200,78.1463399593776,0,0,-0.10480316666667,-11.8555618401211,0,0,10.136914317167,25.3397000603774,0.0504548148514383,24.391356182472,24.7967966065955,0.00125111778169455,0.141529160825176,0.467861022112188,52.9254549900665,0.000238840411513361,0.049792946556811,0.0501886915782389,6.37164564185055,50.6845715858349,100.649037
,,201,77.9967739381675,3.20770050677205,7.82545462799327,0.214948833333336,24.3154788838615,0.00102175075813788,0.231641953529897,10.2149858741158,25.3871372040984,0.0677014355708552,24.437377385509,24.845445719237,0.00168207234259011,0.190279676763587,0.46932761717433,53.0913594088609,0.000219624133419188,0.0497911676623062,0.0500987481506075,6.42178936171498,50.820825244357,100.510141
,,202,78.5003549522103,3.83565473023655,11.3775127600368,0.180919083333328,20.4659596530914,0.00119724802362429,0.276128141469398,10.2932344385609,25.505754886284,0.0824568125521184,24.5530017906802,24.9634822818071,0.0020584091791591,0.232851717099445,0.471197857935205,53.3029251057924,0.000216605014956745,0.0499568502371789,0.0503972049242811,6.47203733825242,50.9566061314898,100.298447
,,203,78.0791962337776,24.0582125814495,79.7552075652312,0.0286895833333354,3.24542797888409,0.00807129918502115,1.71558767266987,10.3715242141539,25.2496504761436,0.0926158534133411,24.3076793753553,24.7057451762417,0.00228814367371016,0.25883978209391,0.473371134361639,53.5487708553891,0.000231562210576946,0.0492194955007052,0.0500629816407527,6.52226743153494,51.0912522864726,100.189533
,,204,76.9044748403105,0,0,-0.208962916666666,-23.6383389894419,0,0,10.449016049691,25.1492160080233,0.0638929941617221,24.2101372578939,24.6102512632532,0.00157242264028155,0.177875864285243,0.475301417518635,53.7671286785787,0.00024296485815039,0.0490224713967083,0.0493959280923882,6.57199688640151,51.2206669102499,100.255202
