s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.3893074E+002, 8.6748149E-001,-9.3731107E-002,-7.7037339E-001,-2.0337924E-002,-1.0170828E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0666570E-002,-1.6971103E-002, 2.4676023E-005, 2.4676023E-005
 1.3994177E+002, 8.6426385E-001,-9.8583310E-002,-7.2929732E-001,-2.1035320E-002,-1.0010093E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9220243E-002, 1.5337884E-002, 2.4535945E-005, 2.4535945E-005
 1.4092268E+002, 9.1393989E-001,-1.0595643E-001,-7.9886061E-001,-2.4946358E-002,-9.8827565E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1577517E-002,-1.5833394E-002, 2.4396736E-005, 2.4396736E-005
 1.4192168E+002, 8.4860113E-001,-9.3108811E-002,-7.3786487E-001,-2.0695357E-002,-1.0156107E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9421636E-003,-3.0780638E-003, 2.4258376E-005, 2.4258376E-005
 1.4294659E+002, 8.4414960E-001,-1.0295936E-001,-7.3938949E-001,-2.3126570E-002,-9.9400457E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3732800E-002,-2.1335759E-002, 2.4117369E-005, 2.4117369E-005
 1.4392940E+002, 8.4711262E-001,-9.7642851E-002,-6.8873501E-001,-2.4916942E-002,-9.8374711E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6759843E-002, 3.5807981E-002, 2.3975159E-005, 2.3975159E-005
 1.4492436E+002, 8.5243058E-001,-1.0762817E-001,-7.4967242E-001,-2.3532955E-002,-9.9632891E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1294550E-002,-2.8412934E-002, 2.3836681E-005, 2.3836681E-005
 1.4593730E+002, 8.4349887E-001,-1.0794286E-001,-6.9642577E-001,-2.6954869E-002,-9.9513255E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8867772E-002, 1.2165417E-002, 2.3696625E-005, 2.3696625E-005
 1.4694957E+002, 8.0975516E-001,-9.1094787E-002,-7.2020679E-001,-2.9918681E-002,-1.0035755E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0152037E-002,-3.1475135E-002, 2.3555025E-005, 2.3555025E-005
 1.4792473E+002, 8.1876664E-001,-1.0902178E-001,-7.0362213E-001,-2.3852586E-002,-9.6831872E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7559877E-002,-1.7739544E-002, 2.3415879E-005, 2.3415879E-005
 1.4893329E+002, 8.1824324E-001,-1.0725160E-001,-6.7276926E-001,-2.6589471E-002,-9.6649115E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2459619E-002, 1.1623236E-002, 2.3276326E-005, 2.3276326E-005
 1.4992061E+002, 7.8540831E-001,-1.0135952E-001,-6.7031659E-001,-2.7529665E-002,-9.5434755E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3381584E-003,-1.3807015E-002, 2.3138918E-005, 2.3138918E-005
 1.5094443E+002, 8.1376346E-001,-9.9198676E-002,-6.8803867E-001,-2.3510699E-002,-9.5196426E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8322304E-003, 3.0058892E-003, 2.2997721E-005, 2.2997721E-005
 1.5194193E+002, 8.0567522E-001,-9.5536380E-002,-6.7668877E-001,-2.3156556E-002,-9.6282460E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5285820E-002, 1.0283890E-002, 2.2854382E-005, 2.2854382E-005
 1.5293941E+002, 7.9962279E-001,-8.2440689E-002,-7.1236236E-001,-2.3184324E-002,-9.5404477E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4899023E-002,-1.8374116E-002, 2.2715347E-005, 2.2715347E-005
 1.5394438E+002, 7.7646647E-001,-8.1587365E-002,-6.8440631E-001,-2.1172509E-002,-9.4958404E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8471426E-005,-1.0709211E-002, 2.2574761E-005, 2.2574761E-005
 1.5493016E+002, 7.9513766E-001,-9.6731524E-002,-6.8779934E-001,-2.0533349E-002,-9.3494600E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1886230E-003,-9.9359034E-003, 2.2435540E-005, 2.2435540E-005
 1.5592685E+002, 8.0053118E-001,-9.8478944E-002,-6.8340658E-001,-2.4687758E-002,-9.1312336E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7712286E-003,-6.0512326E-003, 2.2298782E-005, 2.2298782E-005
 1.5691986E+002, 7.8075832E-001,-1.0343103E-001,-6.5884520E-001,-2.3603452E-002,-9.3327154E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4589702E-003,-5.1306903E-003, 2.2156710E-005, 2.2156710E-005
 1.5791487E+002, 7.8350811E-001,-8.1031040E-002,-6.8536511E-001,-2.2647382E-002,-9.1506186E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7171115E-003,-5.5445712E-003, 2.2020103E-005, 2.2020103E-005
 1.5891512E+002, 7.5872664E-001,-7.7583856E-002,-6.6458234E-001,-1.8805401E-002,-9.2645712E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4014501E-003,-2.2542262E-003, 2.1878994E-005, 2.1878994E-005
 1.5993071E+002, 7.6560622E-001,-8.7459751E-002,-6.6251556E-001,-2.3358065E-002,-9.0479122E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4451275E-003,-7.7361991E-003, 2.1739077E-005, 2.1739077E-005
 1.6091258E+002, 7.6758851E-001,-8.1043305E-002,-6.6744593E-001,-2.2633386E-002,-8.9881033E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6849681E-003,-3.5431034E-003, 2.1598068E-005, 2.1598068E-005
