s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.6901512E+001, 1.5510697E-002,-1.5403869E-003,-1.4456708E-002,-5.3796374E-004,-1.1272861E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1568235E-004,-1.0254893E-003, 3.5503383E-007, 3.5503383E-007
 1.8100182E+001, 1.7318140E-002,-1.5897201E-003,-1.4585287E-002,-5.6486933E-004,-1.1595414E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1943139E-004, 5.7710400E-004, 3.6516654E-007, 3.6516654E-007
 1.9298851E+001, 1.8169192E-002,-1.5461761E-003,-1.4679117E-002,-6.0575649E-004,-1.1919427E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0931111E-003, 1.3369503E-003, 3.7531573E-007, 3.7531573E-007
 2.0497520E+001, 1.8573071E-002,-1.5940553E-003,-1.4987678E-002,-6.3543602E-004,-1.2243224E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3892752E-003, 1.3546775E-003, 3.8527698E-007, 3.8527698E-007
 2.1708176E+001, 1.9216846E-002,-1.6456103E-003,-1.5482235E-002,-6.2529540E-004,-1.2572585E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7663517E-003, 1.4624485E-003, 3.9566808E-007, 3.9566808E-007
 2.2907679E+001, 1.9357647E-002,-1.6929377E-003,-1.6452392E-002,-6.1827789E-004,-1.2892914E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2141661E-004, 5.9275025E-004, 4.0567006E-007, 4.0567006E-007
 2.4054028E+001, 1.9132189E-002,-1.6495349E-003,-1.5905793E-002,-5.9299846E-004,-1.3203513E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2340782E-004, 9.8254230E-004, 4.1552510E-007, 4.1552510E-007
 2.5212074E+001, 1.8643653E-002,-1.7639192E-003,-1.6428365E-002,-6.2036598E-004,-1.3526044E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3099021E-004,-1.7034999E-004, 4.2549786E-007, 4.2549786E-007
 2.6498793E+001, 1.9890099E-002,-1.9598217E-003,-1.7148887E-002,-6.5837121E-004,-1.3854989E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7458267E-004, 1.2163410E-004, 4.3564705E-007, 4.3564705E-007
 2.7656839E+001, 2.1612503E-002,-1.9979653E-003,-1.8557333E-002,-6.7825772E-004,-1.4189743E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9257064E-004, 3.7752774E-004, 4.4617214E-007, 4.4617214E-007
 2.8858742E+001, 2.3330496E-002,-1.9065569E-003,-1.8476013E-002,-6.7992131E-004,-1.4486019E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0404437E-003, 2.2665560E-003, 4.5608901E-007, 4.5608901E-007
 3.0126429E+001, 2.3233808E-002,-2.1333817E-003,-1.9400560E-002,-7.0450598E-004,-1.4798842E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3383881E-004, 9.9388122E-004, 4.6628258E-007, 4.6628258E-007
 3.1267345E+001, 2.1242921E-002,-2.0218123E-003,-1.8712325E-002,-6.8086036E-004,-1.5139315E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0185026E-004,-1.7359096E-004, 4.7645266E-007, 4.7645266E-007
